frame,class,label,confidence,x_center,y_center
0,1,Fast,0.8262984752655029,462,744
0,1,Fast,0.491803914308548,593,657
1,1,Fast,0.8248152732849121,455,749
2,1,Fast,0.8589105010032654,447,753
3,1,Fast,0.8693870902061462,440,757
4,1,Fast,0.8695374727249146,433,761
5,1,Fast,0.8759531378746033,425,766
6,1,Fast,0.882296621799469,419,770
7,1,Fast,0.8784120678901672,411,774
7,2,Slow,0.4348020553588867,908,565
8,1,Fast,0.8745059370994568,404,778
8,2,Slow,0.7137746214866638,912,563
9,1,Fast,0.8965594172477722,396,783
9,1,Fast,0.7322004437446594,543,686
9,2,Slow,0.6989696025848389,916,560
10,1,Fast,0.8890712857246399,388,788
10,2,Slow,0.7493026256561279,920,557
10,1,Fast,0.7291473746299744,539,689
10,2,Slow,0.31461527943611145,926,452
11,1,Fast,0.8940097689628601,380,792
11,2,Slow,0.5231993794441223,923,555
12,1,Fast,0.8857936859130859,373,797
12,1,Fast,0.6999130249023438,526,697
12,2,Slow,0.3147965669631958,926,552
13,1,Fast,0.8921942114830017,364,802
13,1,Fast,0.5482327342033386,521,701
13,1,Fast,0.44936829805374146,917,457
14,1,Fast,0.8937195539474487,356,807
14,1,Fast,0.6206173300743103,513,704
14,1,Fast,0.45912447571754456,915,460
15,1,Fast,0.8978986144065857,348,811
15,1,Fast,0.5887099504470825,912,461
15,1,Fast,0.4869633615016937,507,708
16,1,Fast,0.8900191783905029,339,816
16,1,Fast,0.7780502438545227,501,712
16,1,Fast,0.4340002238750458,909,463
17,1,Fast,0.8831315040588379,329,821
17,1,Fast,0.7260538339614868,494,716
18,1,Fast,0.9004960656166077,321,826
18,1,Fast,0.7570658326148987,487,719
19,1,Fast,0.888927698135376,313,831
19,1,Fast,0.8129763603210449,481,723
19,2,Slow,0.4213099777698517,948,534
20,1,Fast,0.8854894042015076,305,836
20,1,Fast,0.863326907157898,475,726
20,2,Slow,0.7592417597770691,951,532
20,1,Fast,0.46298322081565857,446,778
21,1,Fast,0.893225371837616,296,842
21,1,Fast,0.8455241322517395,468,730
21,2,Slow,0.6602312326431274,954,530
22,1,Fast,0.8939785361289978,286,847
22,1,Fast,0.8413782715797424,462,734
22,1,Fast,0.7424800395965576,426,789
23,1,Fast,0.8862608671188354,278,852
23,1,Fast,0.8650040030479431,455,738
23,1,Fast,0.7726874351501465,418,795
24,1,Fast,0.8961866497993469,268,857
24,1,Fast,0.8686427474021912,449,742
24,1,Fast,0.7879433035850525,406,802
25,1,Fast,0.9024268388748169,259,863
25,1,Fast,0.8496690988540649,443,746
25,1,Fast,0.8145961165428162,396,809
26,1,Fast,0.9114648103713989,251,868
26,1,Fast,0.8289730548858643,435,749
26,1,Fast,0.6770733594894409,387,815
27,1,Fast,0.9007311463356018,241,873
27,1,Fast,0.8306679129600525,428,754
27,1,Fast,0.3616243004798889,377,821
28,1,Fast,0.9074144959449768,231,879
28,1,Fast,0.8510612845420837,421,758
28,1,Fast,0.6144082546234131,364,828
29,1,Fast,0.9068381190299988,221,884
29,1,Fast,0.8609645366668701,413,762
29,1,Fast,0.8402705192565918,354,834
29,1,Fast,0.6023958325386047,871,488
29,2,Slow,0.5358245372772217,977,512
30,1,Fast,0.9027838706970215,212,889
30,1,Fast,0.8439849019050598,406,766
30,1,Fast,0.575507402420044,345,842
30,2,Slow,0.5235133767127991,979,509
30,1,Fast,0.5214830636978149,867,490
30,0,VRU,0.30534058809280396,1196,322
31,1,Fast,0.9051352739334106,201,896
31,1,Fast,0.8462211489677429,399,771
31,2,Slow,0.5867913365364075,983,507
32,1,Fast,0.9113937020301819,190,901
32,1,Fast,0.8713216185569763,391,775
32,2,Slow,0.5768139958381653,985,504
32,2,Slow,0.5027873516082764,861,492
33,1,Fast,0.9078658819198608,180,907
33,1,Fast,0.8725138306617737,384,779
33,2,Slow,0.6413841843605042,858,495
33,2,Slow,0.5771777033805847,988,502
34,1,Fast,0.9041461944580078,170,914
34,1,Fast,0.8867416381835938,376,783
34,2,Slow,0.504428505897522,854,497
34,1,Fast,0.4535539746284485,298,868
35,1,Fast,0.9037302136421204,159,919
35,1,Fast,0.867771565914154,368,788
35,2,Slow,0.3827267587184906,850,500
36,1,Fast,0.904769241809845,149,924
36,1,Fast,0.8204895257949829,362,792
37,1,Fast,0.9118662476539612,138,930
37,1,Fast,0.35590845346450806,844,505
37,1,Fast,0.31985539197921753,355,797
38,1,Fast,0.9110357761383057,127,937
38,1,Fast,0.697643518447876,841,507
38,1,Fast,0.37667641043663025,347,801
39,1,Fast,0.9062581062316895,116,943
39,1,Fast,0.6319437026977539,837,509
39,2,Slow,0.46420902013778687,1002,490
39,1,Fast,0.44343340396881104,338,806
40,1,Fast,0.908290445804596,104,949
40,1,Fast,0.6733058094978333,834,511
40,2,Slow,0.4125548303127289,1005,488
41,1,Fast,0.9008142352104187,92,956
41,1,Fast,0.7446853518486023,321,816
41,1,Fast,0.4374808073043823,831,513
41,2,Slow,0.3208959102630615,1007,486
42,1,Fast,0.898740291595459,82,961
42,1,Fast,0.8633139729499817,312,820
42,1,Fast,0.47249093651771545,827,515
43,1,Fast,0.8866916298866272,70,967
43,1,Fast,0.7890416383743286,303,825
43,1,Fast,0.5744590759277344,825,517
44,1,Fast,0.8379411697387695,295,831
44,1,Fast,0.8205218315124512,820,519
44,1,Fast,0.5467242002487183,59,974
44,0,VRU,0.36628884077072144,1211,309
45,1,Fast,0.8032283782958984,287,835
45,1,Fast,0.7034835815429688,817,522
45,1,Fast,0.3248709440231323,156,953
46,1,Fast,0.8302330374717712,278,839
46,1,Fast,0.6066855192184448,813,524
47,1,Fast,0.8166249990463257,270,845
47,1,Fast,0.5582602024078369,810,526
48,1,Fast,0.863503098487854,261,850
49,1,Fast,0.8625814318656921,252,855
49,2,Slow,0.39860281348228455,1026,470
50,1,Fast,0.8387545943260193,243,860
50,1,Fast,0.605901300907135,798,534
50,2,Slow,0.3325074315071106,634,628
51,1,Fast,0.7922652959823608,235,865
51,1,Fast,0.45898279547691345,794,536
51,2,Slow,0.33953776955604553,630,631
51,0,VRU,0.3272497057914734,1220,304
52,1,Fast,0.8343963623046875,225,870
52,1,Fast,0.713453471660614,791,539
52,2,Slow,0.3657666742801666,627,633
53,1,Fast,0.7246214151382446,217,876
53,1,Fast,0.7117162346839905,787,541
54,1,Fast,0.7653560638427734,207,881
54,1,Fast,0.5815249681472778,784,543
55,1,Fast,0.7958645224571228,198,887
55,1,Fast,0.6481821537017822,779,545
55,2,Slow,0.5929955840110779,772,680
55,0,VRU,0.3389541804790497,611,641
56,1,Fast,0.6089745163917542,188,893
56,1,Fast,0.5318590998649597,775,547
56,0,VRU,0.4520014524459839,606,644
57,1,Fast,0.59810471534729,178,898
57,1,Fast,0.533143937587738,772,550
57,0,VRU,0.4775780737400055,603,646
57,2,Slow,0.3627246916294098,1043,456
58,1,Fast,0.7123509645462036,168,904
58,2,Slow,0.6060864329338074,1046,454
58,1,Fast,0.330720454454422,768,553
59,2,Slow,0.6497536301612854,1048,452
59,1,Fast,0.608409583568573,158,910
60,1,Fast,0.856995701789856,148,915
60,2,Slow,0.5378834009170532,1051,450
61,1,Fast,0.6901319622993469,136,921
61,1,Fast,0.6646705865859985,754,561
61,2,Slow,0.416515052318573,1052,447
62,2,Slow,0.483137309551239,1054,446
62,1,Fast,0.4515615403652191,126,927
62,2,Slow,0.3310494124889374,578,660
63,2,Slow,0.8173922896385193,803,656
63,1,Fast,0.7578888535499573,746,567
63,1,Fast,0.3135386109352112,1056,444
64,2,Slow,0.8002806305885315,805,654
64,1,Fast,0.7707953453063965,743,570
64,1,Fast,0.35895344614982605,1058,443
65,2,Slow,0.8257266879081726,810,650
65,1,Fast,0.7403271198272705,739,572
66,1,Fast,0.7161397933959961,734,575
66,2,Slow,0.649283766746521,813,648
