frame,class,label,confidence,x_center,y_center
0,2,Slow,0.7497144341468811,573,647
1,2,Slow,0.4361909031867981,569,649
2,2,Slow,0.7149136662483215,563,652
3,2,Slow,0.5625585913658142,559,656
3,1,Fast,0.5613674521446228,631,631
4,2,Slow,0.4508773982524872,554,658
5,2,Slow,0.3777303099632263,549,661
6,2,Slow,0.5919824242591858,615,640
6,1,Fast,0.36354559659957886,544,664
7,1,Fast,0.6468672156333923,540,666
8,2,Slow,0.7242037057876587,535,669
9,2,Slow,0.5593551397323608,531,672
9,1,Fast,0.4061158001422882,531,672
9,1,Fast,0.3444178104400635,598,650
10,2,Slow,0.8115355968475342,526,675
10,1,Fast,0.6923174262046814,592,653
11,2,Slow,0.8124971985816956,521,677
12,1,Fast,0.4793958067893982,516,680
13,2,Slow,0.5188323259353638,511,683
14,1,Fast,0.7689873576164246,505,686
15,1,Fast,0.3892413079738617,500,689
15,1,Fast,0.34757083654403687,564,671
16,2,Slow,0.43822211027145386,495,691
16,1,Fast,0.35440075397491455,559,675
17,1,Fast,0.5188580751419067,490,695
17,2,Slow,0.39446401596069336,553,678
18,1,Fast,0.5182961821556091,484,698
18,2,Slow,0.3454776108264923,484,698
19,1,Fast,0.5731059312820435,539,685
19,1,Fast,0.562743067741394,479,701
20,2,Slow,0.6780463457107544,473,704
20,1,Fast,0.6257753968238831,533,689
21,2,Slow,0.5156453847885132,469,707
21,1,Fast,0.43176737427711487,469,707
22,2,Slow,0.7228574752807617,463,710
23,1,Fast,0.8197049498558044,457,714
24,1,Fast,0.7842633724212646,452,717
25,1,Fast,0.7226992249488831,501,708
25,1,Fast,0.6891082525253296,447,720
26,1,Fast,0.37986400723457336,441,723
27,1,Fast,0.7292351722717285,487,717
27,1,Fast,0.5224472880363464,440,723
27,2,Slow,0.3575609624385834,1071,341
28,1,Fast,0.7249718308448792,480,720
28,1,Fast,0.6078740954399109,433,730
28,2,Slow,0.5204586982727051,1070,342
29,1,Fast,0.7604568004608154,473,724
29,1,Fast,0.739261269569397,424,734
30,1,Fast,0.6269250512123108,467,728
30,1,Fast,0.4037330448627472,417,737
30,2,Slow,0.3355838358402252,1067,343
31,1,Fast,0.5798365473747253,410,740
32,1,Fast,0.7054015398025513,400,745
32,1,Fast,0.3154527246952057,438,741
33,1,Fast,0.3987690210342407,397,748
35,2,Slow,0.3969493806362152,385,755
36,1,Fast,0.838990330696106,380,758
36,1,Fast,0.3864615261554718,410,759
37,1,Fast,0.8041661977767944,373,762
37,1,Fast,0.5398357510566711,403,763
38,1,Fast,0.8032741546630859,367,765
39,1,Fast,0.3491281270980835,360,767
64,2,Slow,0.4905659556388855,636,609
70,1,Fast,0.5124242901802063,119,898
71,1,Fast,0.4216901957988739,204,972
71,1,Fast,0.3203194737434387,109,904
72,1,Fast,0.5425428152084351,63,949
72,1,Fast,0.42677927017211914,99,908
72,1,Fast,0.4058113396167755,214,967
73,1,Fast,0.3483874499797821,221,963
75,2,Slow,0.3728487491607666,582,642
81,1,Fast,0.5010206699371338,280,927
82,1,Fast,0.5227456092834473,288,921
83,1,Fast,0.4666353166103363,295,918
84,1,Fast,0.7213919758796692,300,914
85,1,Fast,0.6378635168075562,308,911
85,2,Slow,0.5028011798858643,983,402
85,1,Fast,0.3368241488933563,535,670
86,2,Slow,0.3964408338069916,982,403
86,1,Fast,0.33331912755966187,313,907
88,2,Slow,0.4117482602596283,534,737
88,1,Fast,0.335487961769104,327,899
89,1,Fast,0.46871650218963623,334,895
89,2,Slow,0.3343450129032135,978,406
89,2,Slow,0.3114626407623291,888,456
97,1,Fast,0.7841554284095764,383,865
98,1,Fast,0.3951547145843506,391,861
99,1,Fast,0.7982472777366638,397,857
100,1,Fast,0.55897456407547,402,855
101,1,Fast,0.4405534267425537,409,851
103,1,Fast,0.689132809638977,419,844
104,1,Fast,0.37804460525512695,425,841
107,1,Fast,0.4328751564025879,443,830
108,1,Fast,0.33586153388023376,448,827
110,1,Fast,0.800690770149231,458,820
110,2,Slow,0.41107988357543945,1045,366
112,1,Fast,0.3139415383338928,469,813
113,1,Fast,0.6167802810668945,474,811
114,1,Fast,0.6027817726135254,480,807
115,1,Fast,0.7958070635795593,485,804
117,1,Fast,0.32441356778144836,495,798
125,2,Slow,0.5285648107528687,899,460
125,2,Slow,0.31526103615760803,534,774
126,2,Slow,0.6461144685745239,897,461
127,2,Slow,0.542284369468689,894,463
129,2,Slow,0.6298819780349731,890,466
129,1,Fast,0.45625314116477966,555,761
130,2,Slow,0.7470111846923828,560,759
130,2,Slow,0.6026979684829712,888,467
131,2,Slow,0.5598974823951721,886,468
134,2,Slow,0.34305474162101746,876,475
135,2,Slow,0.5505967736244202,873,477
136,2,Slow,0.773551344871521,49,1038
136,2,Slow,0.5727216601371765,871,478
137,2,Slow,0.771243691444397,869,480
137,1,Fast,0.6794220209121704,61,1031
138,1,Fast,0.8350855708122253,72,1024
138,2,Slow,0.7857115864753723,867,482
138,2,Slow,0.6172555685043335,594,736
139,1,Fast,0.9042831659317017,82,1018
139,2,Slow,0.7483964562416077,864,483
140,1,Fast,0.8585667014122009,93,1012
140,2,Slow,0.6061273813247681,862,485
140,2,Slow,0.5558423399925232,602,731
141,2,Slow,0.7297816276550293,860,487
141,1,Fast,0.6203463077545166,104,1006
141,2,Slow,0.42383548617362976,605,729
142,1,Fast,0.8807973265647888,115,1000
142,2,Slow,0.7981759905815125,856,489
143,1,Fast,0.8007438778877258,125,994
143,2,Slow,0.7535915374755859,852,491
144,1,Fast,0.8726950883865356,136,987
145,1,Fast,0.8748605251312256,147,981
146,1,Fast,0.8703196048736572,158,976
146,2,Slow,0.6396968960762024,843,497
146,1,Fast,0.44249674677848816,36,942
147,1,Fast,0.8853973746299744,169,971
147,2,Slow,0.7800282835960388,841,498
148,1,Fast,0.8656123876571655,178,965
148,2,Slow,0.5989556312561035,839,500
149,1,Fast,0.8681772351264954,188,959
150,1,Fast,0.8743762373924255,198,953
150,2,Slow,0.33696359395980835,833,505
151,1,Fast,0.8720305562019348,207,947
152,1,Fast,0.8885178565979004,217,942
153,1,Fast,0.8918066620826721,227,936
154,1,Fast,0.8323646783828735,236,930
154,2,Slow,0.7486686110496521,821,512
155,1,Fast,0.8814098238945007,246,924
155,2,Slow,0.7991749048233032,817,514
156,1,Fast,0.8768118619918823,255,919
156,2,Slow,0.6637319326400757,814,516
157,1,Fast,0.854913592338562,264,914
157,2,Slow,0.8205230832099915,812,518
158,1,Fast,0.8836299777030945,273,909
158,2,Slow,0.639160692691803,810,520
159,1,Fast,0.8853598833084106,281,904
159,2,Slow,0.3213582932949066,676,684
160,1,Fast,0.715145468711853,290,898
161,1,Fast,0.8499326109886169,300,893
164,1,Fast,0.8207768797874451,325,878
165,1,Fast,0.7720701694488525,333,873
166,1,Fast,0.34001636505126953,341,869
167,1,Fast,0.8472031950950623,349,864
167,2,Slow,0.4883093535900116,777,539
168,1,Fast,0.817650318145752,356,859
168,1,Fast,0.420743465423584,775,541
169,1,Fast,0.7549573183059692,365,855
170,1,Fast,0.8790717124938965,372,851
171,1,Fast,0.8827290534973145,380,847
171,1,Fast,0.4998295307159424,664,598
172,1,Fast,0.8213081955909729,388,842
172,1,Fast,0.7246530055999756,660,600
173,1,Fast,0.8194718360900879,394,838
173,1,Fast,0.3700026273727417,657,602
174,1,Fast,0.8655428886413574,402,834
176,0,VRU,0.3661004602909088,907,459
176,1,Fast,0.32480883598327637,643,610
177,1,Fast,0.8480420708656311,423,821
177,1,Fast,0.5255497097969055,739,563
177,2,Slow,0.501602292060852,640,612
178,1,Fast,0.669750988483429,429,817
178,2,Slow,0.4686049520969391,637,614
179,2,Slow,0.5082297921180725,633,617
179,1,Fast,0.47805026173591614,436,812
181,1,Fast,0.74149090051651,450,805
181,0,VRU,0.5889593362808228,895,468
182,0,VRU,0.7336318492889404,893,470
183,0,VRU,0.7576081156730652,890,472
183,1,Fast,0.6980903148651123,464,797
184,1,Fast,0.7852674126625061,471,793
184,0,VRU,0.757265031337738,887,473
184,2,Slow,0.3092310428619385,14,1060
185,1,Fast,0.7512449026107788,477,789
185,2,Slow,0.6587890982627869,20,1056
185,0,VRU,0.3034451901912689,883,476
186,2,Slow,0.6608904600143433,28,1048
186,2,Slow,0.6382260322570801,705,585
186,0,VRU,0.42977991700172424,880,478
187,2,Slow,0.7865889072418213,36,1043
187,0,VRU,0.617953360080719,489,781
187,0,VRU,0.4645077586174011,878,479
188,2,Slow,0.799771785736084,46,1037
188,2,Slow,0.5948707461357117,697,590
188,0,VRU,0.5001189112663269,873,480
189,2,Slow,0.7705020904541016,695,592
189,0,VRU,0.6916254758834839,871,482
189,2,Slow,0.6656428575515747,591,641
189,2,Slow,0.6072037816047668,58,1030
189,2,Slow,0.5990119576454163,503,773
190,0,VRU,0.7437841892242432,868,484
190,2,Slow,0.5540685057640076,587,643
190,2,Slow,0.35440927743911743,690,595
191,0,VRU,0.7883149981498718,866,486
191,2,Slow,0.6746272444725037,82,1017
192,2,Slow,0.7255265116691589,92,1011
192,2,Slow,0.673835039138794,681,600
192,1,Fast,0.6199798583984375,520,762
192,0,VRU,0.6144484877586365,780,614
192,1,Fast,0.5753251910209656,578,648
192,0,VRU,0.4500454068183899,520,762
192,2,Slow,0.303030401468277,863,487
193,2,Slow,0.803282618522644,677,602
193,0,VRU,0.6557016968727112,782,613
193,2,Slow,0.5289050936698914,102,1004
193,1,Fast,0.5101970434188843,574,650
193,2,Slow,0.39562711119651794,528,758
194,2,Slow,0.7605424523353577,671,606
194,2,Slow,0.603685200214386,113,999
194,2,Slow,0.547155499458313,533,754
