frame,class,label,confidence,x_center,y_center
0,1,Fast,0.821864902973175,436,508
1,1,Fast,0.8148524165153503,426,507
1,1,Fast,0.38923996686935425,1163,493
1,1,Fast,0.33048567175865173,863,468
2,1,Fast,0.7951563000679016,416,507
2,1,Fast,0.4204336404800415,1237,471
3,1,Fast,0.8316226601600647,407,508
3,1,Fast,0.43835967779159546,852,468
4,1,Fast,0.816408097743988,397,508
4,1,Fast,0.5684914588928223,846,468
4,1,Fast,0.5264645218849182,247,479
5,1,Fast,0.8517977595329285,387,507
5,1,Fast,0.7068244218826294,840,467
5,1,Fast,0.33291417360305786,1219,471
6,1,Fast,0.8437181711196899,377,507
6,1,Fast,0.7177022099494934,835,467
6,1,Fast,0.604281485080719,230,479
7,1,Fast,0.81699138879776,368,507
7,1,Fast,0.7196857333183289,829,468
7,1,Fast,0.6709439754486084,1207,471
7,1,Fast,0.49649888277053833,222,479
8,1,Fast,0.8574897646903992,357,507
8,1,Fast,0.7374340891838074,823,468
8,1,Fast,0.7066188454627991,214,478
8,1,Fast,0.6602070331573486,1201,470
8,1,Fast,0.32583239674568176,1850,478
9,1,Fast,0.8477988839149475,347,507
9,1,Fast,0.7486801147460938,817,468
9,1,Fast,0.7462526559829712,205,479
9,1,Fast,0.5279570817947388,1495,476
9,1,Fast,0.4496682584285736,1194,471
9,2,Slow,0.405490905046463,1465,571
10,1,Fast,0.8326983451843262,337,506
10,1,Fast,0.7322486639022827,812,468
10,1,Fast,0.6426076889038086,197,478
10,1,Fast,0.5148454308509827,1188,471
10,1,Fast,0.3146439790725708,1079,493
10,1,Fast,0.30889227986335754,1489,476
11,1,Fast,0.8251257538795471,327,506
11,1,Fast,0.7703422904014587,188,478
11,1,Fast,0.7338832020759583,806,468
11,1,Fast,0.5541526079177856,1070,493
11,1,Fast,0.5247747302055359,1182,471
12,1,Fast,0.825019121170044,317,506
12,1,Fast,0.6921036839485168,1059,493
12,1,Fast,0.5459049344062805,801,468
12,1,Fast,0.49685677886009216,1174,471
12,1,Fast,0.3986256420612335,1389,494
12,1,Fast,0.3387032449245453,179,477
13,1,Fast,0.8251564502716064,308,506
13,1,Fast,0.732510507106781,1049,493
13,1,Fast,0.6132526397705078,1168,471
13,1,Fast,0.4627394378185272,1380,494
14,1,Fast,0.8698280453681946,297,506
14,1,Fast,0.7526035904884338,1161,471
14,1,Fast,0.7305588126182556,1040,493
14,1,Fast,0.43197691440582275,1371,494
15,1,Fast,0.8634965419769287,287,506
15,1,Fast,0.6421088576316833,1155,471
15,1,Fast,0.5353610515594482,1031,492
15,1,Fast,0.4708409011363983,155,477
15,1,Fast,0.44624462723731995,1362,494
15,1,Fast,0.43642640113830566,60,561
16,1,Fast,0.8523142337799072,277,505
16,1,Fast,0.7772459983825684,1147,471
16,2,Slow,0.6032693982124329,1528,572
16,1,Fast,0.5157111287117004,146,476
16,1,Fast,0.4054790735244751,1450,476
16,1,Fast,0.3687591254711151,1354,495
16,0,VRU,0.3679249584674835,1526,566
17,1,Fast,0.8637227416038513,267,505
17,1,Fast,0.7361359596252441,1141,471
17,1,Fast,0.66511070728302,1344,494
17,1,Fast,0.6580512523651123,1444,476
17,1,Fast,0.35252833366394043,1013,492
17,1,Fast,0.3410724103450775,137,477
18,1,Fast,0.8696187734603882,258,505
18,1,Fast,0.7718791365623474,1438,476
18,1,Fast,0.6901854276657104,1135,471
18,2,Slow,0.46030837297439575,1543,571
18,1,Fast,0.4334920048713684,1335,494
18,1,Fast,0.37409016489982605,129,476
19,1,Fast,0.8603054881095886,248,505
19,1,Fast,0.7717514634132385,1432,476
19,1,Fast,0.7468605041503906,1326,494
19,2,Slow,0.6392136812210083,1553,572
19,1,Fast,0.6328332424163818,1129,471
