frame,class,label,confidence,x_center,y_center
0,1,Fast,0.7952291965484619,837,878
0,1,Fast,0.7214354872703552,1012,746
1,1,Fast,0.43664786219596863,1009,740
2,1,Fast,0.7706192135810852,838,888
2,1,Fast,0.7464190125465393,1007,734
3,1,Fast,0.7100622057914734,1005,728
3,1,Fast,0.5734553933143616,839,894
4,1,Fast,0.5932304859161377,1002,722
4,1,Fast,0.37841668725013733,839,900
5,1,Fast,0.7446291446685791,841,905
5,1,Fast,0.6938512921333313,1000,715
6,1,Fast,0.7906550168991089,998,710
6,1,Fast,0.4973180592060089,843,910
7,1,Fast,0.8467621803283691,996,705
7,1,Fast,0.7534152865409851,844,916
8,1,Fast,0.8569055199623108,846,921
8,1,Fast,0.8378579020500183,993,699
9,1,Fast,0.836226761341095,991,694
9,1,Fast,0.7748776078224182,848,927
10,1,Fast,0.8423269987106323,989,688
10,1,Fast,0.8390917181968689,849,931
11,1,Fast,0.8173196911811829,850,937
11,1,Fast,0.7925567626953125,987,683
12,1,Fast,0.8261997699737549,986,679
12,1,Fast,0.813940167427063,852,943
13,1,Fast,0.8320919275283813,852,947
13,1,Fast,0.8184422254562378,983,674
14,1,Fast,0.7955039143562317,981,668
15,1,Fast,0.8143333792686462,980,664
15,1,Fast,0.6724624037742615,946,683
15,1,Fast,0.6108226180076599,855,961
16,1,Fast,0.8282484412193298,978,658
16,1,Fast,0.7026137113571167,855,968
17,1,Fast,0.8175126314163208,857,973
17,1,Fast,0.7724234461784363,976,653
18,1,Fast,0.7750762104988098,974,649
18,1,Fast,0.7175869941711426,859,979
19,1,Fast,0.8247339129447937,972,644
19,1,Fast,0.6574277877807617,861,985
19,1,Fast,0.3117838203907013,938,661
20,1,Fast,0.8414525389671326,970,640
20,1,Fast,0.6831967830657959,862,992
20,1,Fast,0.3057229220867157,852,612
21,1,Fast,0.8578048944473267,969,636
21,1,Fast,0.6864907741546631,864,999
22,1,Fast,0.8027584552764893,967,632
22,1,Fast,0.716220498085022,866,1005
23,1,Fast,0.7677640318870544,967,627
23,1,Fast,0.6186051964759827,932,640
23,1,Fast,0.5297518968582153,869,1013
24,1,Fast,0.8459869027137756,965,622
24,1,Fast,0.7723369002342224,930,635
24,1,Fast,0.7202242016792297,871,1020
25,1,Fast,0.7534921765327454,963,617
25,1,Fast,0.6591348052024841,929,630
26,1,Fast,0.8099570274353027,962,613
26,1,Fast,0.7500735521316528,927,625
26,1,Fast,0.5308512449264526,874,1036
27,1,Fast,0.8411973118782043,960,608
27,1,Fast,0.8155113458633423,926,620
27,1,Fast,0.43993720412254333,862,645
27,1,Fast,0.38598111271858215,876,1044
28,1,Fast,0.7908229827880859,924,615
28,1,Fast,0.7777354121208191,958,604
28,1,Fast,0.36971545219421387,879,1049
29,1,Fast,0.7770596742630005,923,611
29,1,Fast,0.6904592514038086,957,601
30,1,Fast,0.739878237247467,921,605
30,1,Fast,0.34626004099845886,885,1058
30,1,Fast,0.3083849847316742,955,596
31,1,Fast,0.6557079553604126,920,601
31,1,Fast,0.5723795294761658,954,592
31,1,Fast,0.39597004652023315,866,665
32,1,Fast,0.7960132360458374,917,597
32,1,Fast,0.48641058802604675,953,589
32,1,Fast,0.384378045797348,867,670
32,1,Fast,0.36043640971183777,1011,652
33,1,Fast,0.7257980108261108,916,592
33,1,Fast,0.7005167603492737,868,676
34,1,Fast,0.765795886516571,916,588
34,1,Fast,0.6914997696876526,870,682
34,1,Fast,0.4676469564437866,950,581
35,1,Fast,0.7757212519645691,914,583
35,1,Fast,0.7015860676765442,949,576
35,1,Fast,0.5758097767829895,872,688
36,1,Fast,0.6313672661781311,873,693
36,1,Fast,0.512272298336029,913,578
37,1,Fast,0.6488437056541443,912,573
38,1,Fast,0.7497441172599792,911,569
38,1,Fast,0.40507179498672485,877,704
39,1,Fast,0.6490200757980347,945,561
39,1,Fast,0.3431933522224426,909,566
40,1,Fast,0.6957383155822754,909,562
40,1,Fast,0.6409251689910889,943,558
41,1,Fast,0.7667672634124756,908,558
41,1,Fast,0.5255324244499207,942,554
42,1,Fast,0.5467333793640137,907,554
46,1,Fast,0.4168394207954407,1148,1016
47,1,Fast,0.3993200957775116,1142,1006
48,1,Fast,0.580945611000061,903,529
48,1,Fast,0.33158257603645325,1137,997
49,1,Fast,0.6356918811798096,902,525
49,1,Fast,0.33660444617271423,895,775
49,1,Fast,0.33098751306533813,1132,989
50,1,Fast,0.5992254614830017,1128,980
50,1,Fast,0.36645179986953735,897,782
51,1,Fast,0.4884219467639923,1123,971
56,1,Fast,0.5458323359489441,898,499
57,1,Fast,0.7041827440261841,1100,922
57,1,Fast,0.6066851019859314,898,495
58,1,Fast,0.7903122901916504,1097,915
58,1,Fast,0.4524494409561157,897,492
59,1,Fast,0.47237589955329895,1092,907
60,1,Fast,0.7033125162124634,1176,979
60,1,Fast,0.536408007144928,1088,900
62,1,Fast,0.31831419467926025,894,479
63,1,Fast,0.5145394206047058,893,477
64,1,Fast,0.5007195472717285,893,473
65,1,Fast,0.5673463344573975,894,469
66,1,Fast,0.5202813744544983,1117,1064
66,1,Fast,0.4653191566467285,894,466
67,1,Fast,0.6286674737930298,1109,1058
67,1,Fast,0.450297087430954,893,463
67,1,Fast,0.40329164266586304,923,467
68,1,Fast,0.8059589862823486,1100,1052
68,1,Fast,0.765140175819397,946,933
68,1,Fast,0.5905896425247192,892,461
69,1,Fast,0.841556191444397,1095,1043
69,1,Fast,0.7819336652755737,950,943
69,1,Fast,0.46650660037994385,892,457
69,1,Fast,0.3945852220058441,922,462
70,1,Fast,0.8476955890655518,1089,1032
70,1,Fast,0.7491929531097412,952,954
70,1,Fast,0.3695783317089081,892,453
71,1,Fast,0.8591101169586182,1085,1020
71,1,Fast,0.8309838175773621,956,963
71,1,Fast,0.619554877281189,1176,1066
71,1,Fast,0.39658382534980774,891,451
72,1,Fast,0.8734530210494995,1079,1009
72,1,Fast,0.8212554454803467,960,974
72,1,Fast,0.7543864846229553,1172,1062
73,1,Fast,0.8814305663108826,1075,1000
73,1,Fast,0.8411902785301208,1163,1056
73,1,Fast,0.784744918346405,964,985
73,1,Fast,0.5391168594360352,890,445
73,1,Fast,0.35711023211479187,1267,1071
74,1,Fast,0.8888422846794128,1157,1051
74,1,Fast,0.8838744163513184,1070,988
74,1,Fast,0.7794655561447144,968,996
74,1,Fast,0.5064250230789185,890,442
74,1,Fast,0.4743667244911194,1264,1067
75,1,Fast,0.8986102938652039,1065,978
75,1,Fast,0.8951978087425232,1152,1042
75,1,Fast,0.6594946980476379,1257,1062
75,1,Fast,0.5016734600067139,889,438
75,1,Fast,0.4336385726928711,971,1007
76,1,Fast,0.8978285789489746,1061,968
76,1,Fast,0.885356068611145,1147,1033
76,1,Fast,0.687382698059082,976,1019
76,1,Fast,0.6236334443092346,1253,1058
76,1,Fast,0.5908520817756653,891,436
77,1,Fast,0.8980060815811157,1143,1023
77,1,Fast,0.8866287469863892,1057,957
77,1,Fast,0.8367563486099243,980,1030
77,1,Fast,0.7511129975318909,1246,1053
78,1,Fast,0.9046937227249146,1137,1014
78,1,Fast,0.8955965042114258,1053,948
78,1,Fast,0.6010167002677917,985,1041
78,1,Fast,0.30398860573768616,916,438
78,1,Fast,0.3002971112728119,1243,1045
79,1,Fast,0.8996646404266357,1133,1005
79,1,Fast,0.8919589519500732,1049,939
79,1,Fast,0.4015200436115265,1236,1035
80,1,Fast,0.9050615429878235,1128,996
80,1,Fast,0.8960219025611877,1044,929
80,1,Fast,0.7186588048934937,1232,1027
81,1,Fast,0.9118487238883972,1124,987
81,1,Fast,0.8872372508049011,1041,920
81,1,Fast,0.7791196703910828,1228,1020
82,1,Fast,0.9043068289756775,1120,978
82,1,Fast,0.8910179734230042,1037,911
82,1,Fast,0.5967991948127747,1224,1011
83,1,Fast,0.9016249775886536,1116,971
83,1,Fast,0.8924466967582703,1033,901
83,1,Fast,0.5102105140686035,1220,1004
84,1,Fast,0.905029296875,1112,961
84,1,Fast,0.8799267411231995,1030,892
84,1,Fast,0.7093009948730469,1216,996
85,1,Fast,0.9071104526519775,1108,953
85,1,Fast,0.888654887676239,1026,884
85,1,Fast,0.5978238582611084,1211,988
86,1,Fast,0.9013535380363464,1104,945
86,1,Fast,0.8781111240386963,1023,876
86,1,Fast,0.6796560287475586,1205,980
87,1,Fast,0.8973953723907471,1101,936
87,1,Fast,0.8861885666847229,1019,867
87,1,Fast,0.8181793689727783,1202,973
88,1,Fast,0.8891655206680298,1015,859
88,1,Fast,0.8866170048713684,1097,928
88,1,Fast,0.8644571304321289,1198,967
89,1,Fast,0.8950517773628235,1094,920
89,1,Fast,0.8815252780914307,1013,852
89,1,Fast,0.8174735903739929,1194,960
90,1,Fast,0.8882741332054138,1089,913
90,1,Fast,0.8824471831321716,1009,844
90,1,Fast,0.7537887096405029,1192,952
91,1,Fast,0.8859278559684753,1086,905
91,1,Fast,0.8693776726722717,1005,836
91,1,Fast,0.6872527599334717,1120,1066
91,1,Fast,0.6571481227874756,1188,945
92,1,Fast,0.8844296336174011,1082,898
92,1,Fast,0.8769487142562866,1002,829
92,1,Fast,0.789436399936676,1111,1060
92,1,Fast,0.6899402141571045,1184,938
93,1,Fast,0.8824774026870728,1077,891
93,1,Fast,0.8770929574966431,999,821
93,1,Fast,0.6097116470336914,1179,931
93,1,Fast,0.46889540553092957,1105,1055
94,1,Fast,0.8910406827926636,1074,884
94,1,Fast,0.8758660554885864,996,814
94,1,Fast,0.8012554049491882,1099,1043
94,1,Fast,0.6834425926208496,1175,924
95,1,Fast,0.8747914433479309,1071,877
95,1,Fast,0.8634366393089294,994,806
95,1,Fast,0.8462268710136414,1094,1031
95,1,Fast,0.7413173913955688,1173,919
96,1,Fast,0.8910773992538452,1067,870
96,1,Fast,0.8550239205360413,990,799
96,1,Fast,0.8019679188728333,1089,1019
97,1,Fast,0.871673583984375,1065,863
97,1,Fast,0.8650438785552979,988,792
97,1,Fast,0.7899539470672607,1085,1008
98,1,Fast,0.889565110206604,1061,856
98,1,Fast,0.8509088158607483,985,786
98,1,Fast,0.8123263120651245,1080,999
98,1,Fast,0.3296830356121063,1163,899
99,1,Fast,0.8633347153663635,1059,849
99,1,Fast,0.8554049134254456,982,778
99,1,Fast,0.801945149898529,1075,988
100,1,Fast,0.8756165504455566,1055,842
100,1,Fast,0.8469407558441162,980,771
100,1,Fast,0.8243597149848938,1071,978
100,1,Fast,0.5645561814308167,1154,886
101,1,Fast,0.8701360821723938,1052,836
101,1,Fast,0.8571544289588928,977,765
101,1,Fast,0.7945151925086975,1151,880
101,1,Fast,0.7830761671066284,1066,967
102,1,Fast,0.8678728342056274,1048,831
102,1,Fast,0.8449302911758423,974,759
102,1,Fast,0.813129186630249,1148,874
102,1,Fast,0.7342691421508789,1061,957
103,1,Fast,0.8895676732063293,1046,824
103,1,Fast,0.8459471464157104,972,752
103,1,Fast,0.7988601922988892,1057,946
103,1,Fast,0.39389386773109436,1146,870
104,1,Fast,0.8654187917709351,1043,818
104,1,Fast,0.832642138004303,970,745
104,1,Fast,0.38956278562545776,1052,937
105,1,Fast,0.882072389125824,1040,811
105,1,Fast,0.8403807878494263,967,739
105,1,Fast,0.31382420659065247,1048,928
105,1,Fast,0.31201431155204773,1140,857
106,1,Fast,0.8570331335067749,1036,805
106,1,Fast,0.8479198813438416,965,733
106,1,Fast,0.7371993660926819,1045,919
107,1,Fast,0.8735911250114441,1034,799
107,1,Fast,0.8379805088043213,962,726
107,1,Fast,0.7606683373451233,1041,909
107,1,Fast,0.4076700210571289,1131,845
108,1,Fast,0.8816134333610535,1031,793
108,1,Fast,0.8463227152824402,961,720
