frame,track_id,class,x_center,y_center,width,height
0,989526,1,356.0,593.0,50,50
0,989527,1,436.0,508.0,50,50
0,989528,1,1422.0,611.0,50,50
0,989529,1,829.0,581.0,50,50
0,989530,1,870.0,466.0,50,50
0,989531,1,208.0,565.0,50,50
0,989532,1,283.0,479.0,50,50
0,989533,1,1900.0,477.0,50,50
0,989534,1,1551.0,474.0,50,50
0,989535,1,1706.0,614.0,50,50
0,989536,1,140.0,588.0,50,50
0,989537,1,1174.0,494.0,50,50
0,989538,1,83.0,495.0,50,50
0,989539,1,1658.0,588.0,50,50
1,989526,1,361.0,593.0,50,50
1,989527,1,426.0,508.0,50,50
1,989528,1,1428.0,611.0,50,50
1,989529,1,835.0,581.0,50,50
1,989530,1,863.0,466.0,50,50
1,989531,1,216.0,565.0,50,50
1,989532,1,275.0,478.0,50,50
1,989533,1,1896.0,476.0,50,50
1,989534,1,1545.0,474.0,50,50
1,989535,1,1712.0,614.0,50,50
1,989536,1,146.0,588.0,50,50
1,989537,1,1166.0,493.0,50,50
1,989538,1,76.0,495.0,50,50
2,989526,1,367.0,593.0,50,50
2,989527,1,417.0,507.0,50,50
2,989528,1,1435.0,611.0,50,50
2,989529,1,843.0,581.0,50,50
2,989530,1,858.0,466.0,50,50
2,989531,1,225.0,566.0,50,50
2,989532,1,266.0,477.0,50,50
2,989533,1,1892.0,476.0,50,50
2,989534,1,1539.0,474.0,50,50
2,989535,1,1718.0,614.0,50,50
2,989536,1,151.0,589.0,50,50
2,989537,1,1156.0,493.0,50,50
2,989538,1,67.0,494.0,50,50
2,989556,1,1614.0,569.0,50,50
2,989539,1,1671.0,588.0,50,50
3,989526,1,375.0,594.0,50,50
3,989527,1,407.0,507.0,50,50
3,989528,1,1442.0,611.0,50,50
3,989529,1,851.0,581.0,50,50
3,989530,1,852.0,467.0,50,50
3,989531,1,233.0,566.0,50,50
3,989532,1,258.0,477.0,50,50
3,989533,1,1886.0,476.0,50,50
3,989534,1,1532.0,474.0,50,50
3,989535,1,1725.0,614.0,50,50
3,989536,1,158.0,589.0,50,50
3,989537,1,1146.0,493.0,50,50
3,989538,1,57.0,493.0,50,50
3,989556,1,1621.0,569.0,50,50
3,989539,-1,1678.0,589.0,50,50
4,989526,1,383.0,594.0,50,50
4,989527,1,397.0,507.0,50,50
4,989528,1,1450.0,611.0,50,50
4,989529,1,860.0,581.0,50,50
4,989530,1,846.0,467.0,50,50
4,989531,1,241.0,566.0,50,50
4,989532,1,249.0,477.0,50,50
4,989533,1,1879.0,477.0,50,50
4,989534,1,1526.0,475.0,50,50
4,989535,1,1733.0,615.0,50,50
4,989536,1,165.0,589.0,50,50
4,989537,1,1136.0,494.0,50,50
4,989538,1,48.0,493.0,50,50
4,989556,1,1630.0,569.0,50,50
4,989539,1,1686.0,589.0,50,50
4,989590,1,710.0,552.0,50,50
5,989526,1,391.0,594.0,50,50
5,989527,1,387.0,507.0,50,50
5,989528,1,1459.0,611.0,50,50
5,989529,1,868.0,581.0,50,50
5,989530,1,840.0,467.0,50,50
5,989531,1,249.0,566.0,50,50
5,989532,1,240.0,477.0,50,50
5,989533,1,1872.0,477.0,50,50
5,989534,1,1520.0,475.0,50,50
5,989535,1,1741.0,615.0,50,50
5,989536,1,172.0,588.0,50,50
5,989537,1,1126.0,494.0,50,50
5,989538,1,38.0,493.0,50,50
5,989556,1,1639.0,569.0,50,50
5,989539,1,1693.0,590.0,50,50
5,989590,1,717.0,552.0,50,50
6,989526,1,398.0,594.0,50,50
6,989527,1,377.0,507.0,50,50
6,989528,1,1466.0,611.0,50,50
6,989530,1,834.0,467.0,50,50
6,989531,1,259.0,566.0,50,50
6,989532,1,231.0,477.0,50,50
6,989533,1,1865.0,477.0,50,50
6,989534,1,1513.0,475.0,50,50
6,989535,1,1748.0,615.0,50,50
6,989536,1,180.0,588.0,50,50
6,989538,1,27.0,492.0,50,50
6,989556,1,1649.0,569.0,50,50
6,989539,1,1699.0,590.0,50,50
6,989590,1,728.0,552.0,50,50
7,989526,1,405.0,595.0,50,50
7,989527,1,367.0,507.0,50,50
7,989528,1,1474.0,611.0,50,50
7,989530,1,829.0,467.0,50,50
7,989531,1,267.0,566.0,50,50
7,989532,1,223.0,477.0,50,50
7,989533,1,1859.0,477.0,50,50
7,989534,1,1507.0,475.0,50,50
7,989535,1,1754.0,615.0,50,50
7,989536,1,186.0,588.0,50,50
7,989538,1,19.0,491.0,50,50
7,989556,-1,1658.0,568.0,50,50
7,989590,1,738.0,552.0,50,50
7,989529,1,884.0,581.0,50,50
8,989526,1,413.0,595.0,50,50
8,989527,1,357.0,507.0,50,50
8,989528,1,1481.0,612.0,50,50
8,989530,1,823.0,467.0,50,50
8,989531,1,274.0,567.0,50,50
8,989532,1,214.0,477.0,50,50
8,989533,1,1851.0,477.0,50,50
8,989534,1,1500.0,475.0,50,50
8,989535,1,1761.0,615.0,50,50
8,989536,1,194.0,589.0,50,50
8,989538,1,13.0,491.0,50,50
8,989590,1,748.0,551.0,50,50
8,989653,1,9.0,557.0,50,50
8,989529,1,891.0,581.0,50,50
8,989537,1,1098.0,494.0,50,50
8,989539,1,1713.0,590.0,50,50
9,989526,1,420.0,595.0,50,50
9,989527,1,347.0,506.0,50,50
9,989528,1,1489.0,612.0,50,50
9,989530,1,817.0,467.0,50,50
9,989531,1,283.0,568.0,50,50
9,989532,1,205.0,477.0,50,50
9,989533,1,1843.0,476.0,50,50
9,989534,1,1494.0,475.0,50,50
9,989535,1,1770.0,615.0,50,50
9,989536,1,201.0,589.0,50,50
9,989538,1,7.0,490.0,50,50
9,989653,1,14.0,557.0,50,50
9,989529,1,900.0,581.0,50,50
9,989537,1,1088.0,493.0,50,50
10,989526,1,428.0,596.0,50,50
10,989527,1,337.0,506.0,50,50
10,989528,1,1496.0,612.0,50,50
10,989530,1,812.0,467.0,50,50
10,989531,1,292.0,568.0,50,50
10,989532,1,197.0,477.0,50,50
10,989533,1,1836.0,476.0,50,50
10,989534,1,1488.0,475.0,50,50
10,989535,1,1777.0,615.0,50,50
10,989536,1,208.0,590.0,50,50
10,989653,1,19.0,558.0,50,50
10,989529,1,908.0,582.0,50,50
10,989537,1,1079.0,493.0,50,50
10,989556,1,1684.0,569.0,50,50
10,989590,1,767.0,551.0,50,50
11,989526,1,435.0,596.0,50,50
11,989527,1,326.0,506.0,50,50
11,989528,1,1501.0,612.0,50,50
11,989530,1,806.0,467.0,50,50
11,989531,1,300.0,568.0,50,50
11,989532,1,189.0,477.0,50,50
11,989533,1,1830.0,476.0,50,50
11,989534,1,1482.0,475.0,50,50
11,989536,1,214.0,590.0,50,50
11,989653,1,24.0,559.0,50,50
11,989529,1,916.0,582.0,50,50
11,989537,1,1069.0,493.0,50,50
11,989590,1,776.0,551.0,50,50
12,989526,1,443.0,596.0,50,50
12,989527,1,317.0,505.0,50,50
12,989528,1,1506.0,612.0,50,50
12,989530,1,800.0,467.0,50,50
12,989531,1,309.0,568.0,50,50
12,989532,1,180.0,476.0,50,50
12,989533,1,1822.0,476.0,50,50
12,989534,1,1475.0,475.0,50,50
12,989536,1,222.0,591.0,50,50
12,989653,1,31.0,559.0,50,50
12,989529,1,924.0,582.0,50,50
12,989537,1,1060.0,493.0,50,50
12,989590,1,786.0,551.0,50,50
13,989526,1,451.0,596.0,50,50
13,989527,1,307.0,505.0,50,50
13,989528,1,1511.0,612.0,50,50
13,989530,1,794.0,467.0,50,50
13,989531,1,317.0,569.0,50,50
13,989532,1,172.0,476.0,50,50
13,989533,1,1815.0,476.0,50,50
13,989534,1,1467.0,475.0,50,50
13,989536,1,229.0,591.0,50,50
13,989653,1,40.0,559.0,50,50
13,989529,1,932.0,582.0,50,50
13,989537,1,1051.0,493.0,50,50
13,989556,1,1708.0,570.0,50,50
14,989526,1,458.0,596.0,50,50
14,989527,1,297.0,505.0,50,50
14,989528,1,1522.0,612.0,50,50
14,989530,1,788.0,467.0,50,50
14,989531,1,325.0,569.0,50,50
14,989532,1,163.0,476.0,50,50
14,989533,1,1808.0,476.0,50,50
14,989534,1,1461.0,475.0,50,50
14,989536,1,236.0,592.0,50,50
14,989653,1,49.0,560.0,50,50
14,989529,1,940.0,582.0,50,50
14,989537,1,1040.0,494.0,50,50
14,989590,1,804.0,552.0,50,50
15,989526,1,466.0,597.0,50,50
15,989527,1,287.0,505.0,50,50
15,989528,1,1530.0,612.0,50,50
15,989530,1,783.0,466.0,50,50
15,989531,1,334.0,570.0,50,50
15,989532,1,155.0,476.0,50,50
15,989533,1,1802.0,476.0,50,50
15,989534,1,1454.0,475.0,50,50
15,989536,1,243.0,592.0,50,50
15,989653,1,59.0,560.0,50,50
15,989529,1,948.0,582.0,50,50
15,989537,1,1031.0,494.0,50,50
15,989535,1,1812.0,616.0,50,50
16,989526,1,474.0,597.0,50,50
16,989527,1,277.0,505.0,50,50
16,989528,1,1539.0,612.0,50,50
16,989530,1,777.0,466.0,50,50
16,989531,1,342.0,570.0,50,50
16,989532,1,146.0,476.0,50,50
16,989533,1,1795.0,476.0,50,50
16,989534,1,1447.0,475.0,50,50
16,989536,1,249.0,592.0,50,50
16,989653,1,68.0,561.0,50,50
16,989529,1,956.0,582.0,50,50
16,989537,1,1021.0,494.0,50,50
17,989526,1,482.0,597.0,50,50
17,989527,1,267.0,505.0,50,50
17,989528,1,1547.0,612.0,50,50
17,989530,1,771.0,466.0,50,50
17,989531,1,350.0,570.0,50,50
17,989532,1,138.0,476.0,50,50
17,989533,1,1789.0,476.0,50,50
17,989534,1,1441.0,475.0,50,50
17,989536,1,256.0,593.0,50,50
17,989653,1,77.0,561.0,50,50
17,989529,1,964.0,582.0,50,50
17,989590,1,832.0,553.0,50,50
18,989526,1,490.0,597.0,50,50
18,989527,1,257.0,505.0,50,50
18,989528,1,1555.0,612.0,50,50
18,989530,1,765.0,466.0,50,50
18,989531,1,359.0,570.0,50,50
18,989532,1,129.0,476.0,50,50
18,989533,1,1783.0,477.0,50,50
18,989534,1,1435.0,475.0,50,50
18,989536,1,263.0,593.0,50,50
18,989653,1,86.0,562.0,50,50
18,989529,1,972.0,582.0,50,50
18,989590,1,841.0,554.0,50,50
18,989535,1,1834.0,616.0,50,50
19,989526,1,497.0,597.0,50,50
19,989527,1,248.0,505.0,50,50
19,989528,1,1562.0,612.0,50,50
19,989530,1,759.0,467.0,50,50
19,989531,1,367.0,570.0,50,50
19,989532,1,120.0,475.0,50,50
19,989533,1,1775.0,477.0,50,50
19,989534,1,1429.0,475.0,50,50
19,989536,1,269.0,593.0,50,50
19,989653,1,96.0,562.0,50,50
19,989529,1,980.0,582.0,50,50
19,989535,1,1841.0,616.0,50,50
20,989526,1,505.0,597.0,50,50
20,989527,1,238.0,504.0,50,50
20,989528,1,1569.0,612.0,50,50
20,989530,1,754.0,467.0,50,50
20,989531,1,376.0,571.0,50,50
20,989532,1,112.0,475.0,50,50
20,989533,1,1768.0,477.0,50,50
20,989534,1,1423.0,475.0,50,50
20,989536,1,276.0,593.0,50,50
20,989653,1,105.0,562.0,50,50
20,989529,1,988.0,582.0,50,50
20,989535,1,1849.0,616.0,50,50
20,989590,1,860.0,554.0,50,50
21,989526,1,512.0,598.0,50,50
21,989527,1,228.0,504.0,50,50
