frame,class,confidence,x_center,y_center
0,3,0.8749365210533142,1321,701
0,4,0.8710002899169922,1522,324
0,4,0.8702604174613953,1747,446
0,3,0.8585039973258972,1038,677
0,4,0.8499064445495605,1122,559
0,3,0.8444280028343201,900,430
0,4,0.8437694311141968,1697,428
0,4,0.8389098048210144,888,388
0,4,0.8380669951438904,1007,441
0,4,0.8316481113433838,965,314
0,4,0.8238615989685059,855,399
0,4,0.8193265199661255,903,157
0,4,0.8189980387687683,831,316
0,4,0.8143251538276672,1589,236
0,4,0.7977432012557983,1638,311
0,4,0.796386182308197,849,220
0,4,0.793616533279419,1839,500
0,4,0.7844315767288208,1620,322
0,4,0.7771381735801697,972,252
0,4,0.7721474766731262,1614,371
0,4,0.7517763376235962,1097,430
0,4,0.7330440282821655,1653,403
0,4,0.7181610465049744,921,123
0,4,0.7002005577087402,1682,418
0,4,0.6790818572044373,1667,410
0,4,0.6185990571975708,826,269
0,4,0.6054673790931702,663,256
0,4,0.5797024965286255,1574,352
0,4,0.5719015598297119,859,109
0,4,0.5528796911239624,481,214
0,4,0.5490630865097046,1597,361
0,4,0.3885428011417389,877,99
0,4,0.37438833713531494,1041,130
0,4,0.344917356967926,1618,375
0,4,0.30836471915245056,1582,356
0,4,0.3037888705730438,858,108
1,3,0.8733877539634705,902,434
1,4,0.8715126514434814,1522,324
1,4,0.8707419633865356,1747,446
1,3,0.8691069483757019,1314,694
1,3,0.8672124147415161,1044,687
1,4,0.8475046753883362,889,391
1,4,0.8471550345420837,1004,437
1,4,0.8429688215255737,1697,428
1,4,0.8391542434692383,964,312
1,4,0.8358019590377808,831,319
1,4,0.8272311687469482,856,401
1,4,0.8231474161148071,1118,553
1,4,0.8223002552986145,904,156
1,4,0.814691424369812,1589,236
1,4,0.7993637323379517,971,250
1,4,0.7945565581321716,1639,311
1,4,0.7888237833976746,850,221
1,4,0.7884702682495117,1839,500
1,4,0.7848852872848511,1620,322
1,4,0.775147020816803,1614,371
1,4,0.7328140735626221,1653,403
1,4,0.7015224099159241,1682,418
1,4,0.6843719482421875,1094,428
1,4,0.6824456453323364,1667,410
1,4,0.5765224099159241,1574,352
1,4,0.5589340925216675,826,272
1,4,0.5517610311508179,1597,361
1,4,0.5299692749977112,1042,130
1,4,0.5249873995780945,858,110
1,4,0.45576202869415283,921,122
1,4,0.42115724086761475,665,257
1,4,0.3887360990047455,904,125
1,4,0.33818984031677246,1618,375
1,4,0.31444576382637024,1582,356
1,4,0.29121989011764526,877,100
2,3,0.8776572942733765,1308,687
2,4,0.8717361688613892,1522,324
2,4,0.8713787198066711,1747,446
2,3,0.8633257150650024,903,438
2,3,0.8598138689994812,1049,696
2,4,0.8572778701782227,890,394
2,4,0.843041181564331,1697,428
2,4,0.842957079410553,1002,432
2,4,0.8423641324043274,963,309
2,4,0.8318038582801819,832,321
2,4,0.8254838585853577,857,404
2,4,0.8234196305274963,1115,549
2,4,0.8218489289283752,903,155
2,4,0.8118637204170227,1589,236
2,4,0.8109042048454285,971,250
2,4,0.7939912676811218,1639,311
2,4,0.7927263379096985,1620,322
2,4,0.7904712557792664,1839,500
2,4,0.7840081453323364,850,223
2,4,0.7829217314720154,1614,371
2,4,0.7494741678237915,1093,426
2,4,0.7322251200675964,1653,403
2,4,0.7193851470947266,827,274
2,4,0.6973775625228882,1682,418
2,4,0.6836628913879395,486,215
2,4,0.6817307472229004,1042,129
2,4,0.6758084893226624,1667,410
2,4,0.6631565690040588,858,111
2,4,0.5836418867111206,1574,351
2,4,0.5490536689758301,1597,361
2,4,0.5250757932662964,667,257
2,4,0.5067616105079651,876,100
2,4,0.44173696637153625,921,121
2,4,0.32101956009864807,1582,356
2,4,0.2793726623058319,858,109
2,5,0.2732047736644745,905,124
3,4,0.8716604113578796,1747,446
3,4,0.8712849617004395,1522,324
3,3,0.8711498975753784,1302,681
3,4,0.86224365234375,892,398
3,3,0.8606947064399719,1055,706
3,4,0.856768012046814,1000,428
3,3,0.8467298150062561,904,442
3,4,0.8426071405410767,1697,428
3,4,0.8413348197937012,1110,545
3,4,0.826689600944519,858,407
3,4,0.8231438398361206,970,249
3,4,0.8186999559402466,961,307
3,4,0.8120049834251404,832,322
3,4,0.8101869225502014,904,153
3,4,0.8094418048858643,1589,236
3,4,0.794002890586853,1639,311
3,4,0.7934603691101074,1620,322
3,4,0.791472315788269,1839,500
3,4,0.7833729982376099,1613,371
3,4,0.7638354301452637,850,225
3,4,0.7589994072914124,827,275
3,4,0.732458233833313,1653,403
3,4,0.718443751335144,1091,423
3,4,0.7046109437942505,488,215
3,4,0.6983862519264221,1682,418
3,4,0.6963458061218262,859,111
3,4,0.6755236387252808,1667,410
3,4,0.5920982956886292,1574,351
3,4,0.5816901922225952,876,101
3,4,0.5436815619468689,1043,129
3,4,0.542531430721283,1597,361
3,4,0.3192517161369324,1582,356
3,4,0.29767248034477234,669,258
4,3,0.8901645541191101,1295,675
4,4,0.8710857629776001,1522,324
4,4,0.8705224990844727,1747,446
4,3,0.8698504567146301,1061,716
4,4,0.8647944331169128,892,401
4,4,0.8551161289215088,996,423
4,3,0.8538420796394348,907,446
4,4,0.8537158966064453,859,411
4,4,0.8452562689781189,1107,540
4,4,0.8419759273529053,1697,428
4,4,0.819891631603241,903,153
4,4,0.8184370994567871,850,226
4,4,0.8174127340316772,970,247
4,4,0.814365565776825,960,305
4,4,0.8069919347763062,1589,236
4,4,0.7944917678833008,833,325
4,4,0.7917320728302002,1639,311
4,4,0.7889081835746765,1839,500
4,4,0.7877829074859619,1620,322
4,4,0.7830770015716553,1613,371
4,4,0.7810909748077393,827,276
4,4,0.7594730854034424,857,112
4,4,0.7482975125312805,490,216
4,4,0.7290109992027283,1652,403
4,4,0.6952600479125977,1682,418
4,4,0.6748863458633423,1667,410
4,4,0.6578514575958252,1087,419
4,4,0.5702467560768127,1574,351
4,4,0.543192446231842,671,259
4,4,0.5342933535575867,1597,362
4,4,0.3932000398635864,905,123
4,4,0.3094892203807831,1582,356
4,4,0.2765810787677765,876,101
5,3,0.88057941198349,1289,669
5,4,0.871679961681366,1522,324
5,4,0.87131267786026,1747,446
5,3,0.8679608106613159,1066,726
5,3,0.8652523159980774,908,449
5,4,0.8520733118057251,859,413
5,4,0.8508628010749817,894,404
5,4,0.8428260684013367,1697,428
5,4,0.8356299996376038,1104,535
5,4,0.8347945809364319,994,420
5,4,0.8311383724212646,850,228
5,4,0.8042769432067871,1589,236
5,4,0.8033437728881836,958,303
5,4,0.7909854054450989,833,327
5,4,0.7885282039642334,1638,311
5,4,0.7850301265716553,1839,500
5,4,0.78252112865448,1620,322
5,4,0.7823026776313782,1085,417
5,4,0.7794718742370605,1613,372
5,4,0.7773022055625916,904,151
5,4,0.7771528959274292,827,278
5,4,0.7763188481330872,494,216
5,4,0.7262093424797058,1652,403
5,4,0.7179440259933472,968,246
5,4,0.6932886242866516,1682,418
5,4,0.6736472249031067,1667,410
5,4,0.6305341124534607,857,112
5,4,0.5471271276473999,1574,351
5,4,0.5288758873939514,1597,362
5,4,0.5053680539131165,673,260
5,4,0.3310498297214508,876,102
5,4,0.3015632629394531,1582,356
6,3,0.8786717653274536,1284,662
6,3,0.8732175230979919,1073,736
6,4,0.8730882406234741,1747,446
6,4,0.8707104325294495,1522,324
6,3,0.8582154512405396,909,454
6,4,0.8574100732803345,895,408
6,4,0.851396918296814,860,416
6,4,0.842147171497345,1697,428
6,4,0.8303089737892151,1101,531
6,4,0.8208153247833252,850,228
6,4,0.804920494556427,1589,236
6,4,0.7986562848091125,834,329
6,4,0.7968287467956543,957,301
6,4,0.7924350500106812,828,280
6,4,0.7897918224334717,1638,311
6,4,0.7892671823501587,1839,500
6,4,0.7843325734138489,1620,322
6,4,0.7755236029624939,1614,371
6,4,0.7743968367576599,991,415
6,4,0.7236349582672119,1652,403
6,4,0.712660014629364,904,150
6,4,0.687824547290802,1682,418
6,4,0.6635953187942505,1667,410
6,4,0.6629937887191772,1082,413
6,4,0.6472405791282654,968,245
6,4,0.5752660036087036,857,113
6,4,0.5165904760360718,1574,351
6,4,0.5148855447769165,1597,362
6,4,0.4542357623577118,674,261
6,4,0.43751060962677,496,216
6,4,0.3096221089363098,1582,356
7,3,0.8800466060638428,1278,655
7,3,0.8781532645225525,1080,746
7,4,0.8733059763908386,1747,446
7,4,0.8717531561851501,1522,324
7,4,0.8608757257461548,897,411
7,4,0.8469165563583374,861,418
7,4,0.8457760214805603,1098,526
7,4,0.8423215746879578,1697,428
7,3,0.8417350649833679,912,458
7,4,0.8175463080406189,835,332
7,4,0.8127142190933228,989,412
7,4,0.8088947534561157,1589,236
7,4,0.8077075481414795,956,298
7,4,0.7921093702316284,1638,311
7,4,0.7894839644432068,828,282
7,4,0.7866602540016174,1620,322
7,4,0.7768276929855347,1614,372
7,4,0.771294891834259,849,230
7,4,0.7658625841140747,1839,500
7,4,0.7652198672294617,1080,409
7,4,0.7498068809509277,676,261
7,4,0.7270399928092957,1653,403
7,4,0.6870409846305847,1682,418
7,4,0.6586452722549438,1666,410
7,4,0.5283573269844055,1574,351
7,4,0.5217928886413574,1597,361
7,4,0.4495649039745331,904,149
7,4,0.4275642931461334,499,217
7,4,0.38755178451538086,967,244
7,4,0.3308671712875366,1617,375
7,4,0.3168237507343292,1582,356
7,4,0.2670792043209076,921,118
8,3,0.883314311504364,1272,650
8,4,0.8730968236923218,1747,446
8,4,0.8723987936973572,1522,324
8,3,0.8684495091438293,1085,757
8,4,0.8557440042495728,899,415
8,3,0.8489205837249756,914,462
8,4,0.842147171497345,1697,428
8,4,0.8418375253677368,955,296
8,4,0.8378458619117737,677,262
8,4,0.836949348449707,862,422
8,4,0.8359414339065552,1094,522
8,4,0.8309237360954285,835,334
8,4,0.8066881895065308,1589,236
8,4,0.7914810180664062,1638,311
8,4,0.7912542819976807,828,284
8,4,0.7875900864601135,1839,500
8,4,0.7863572835922241,1620,322
8,4,0.7860540151596069,987,407
8,4,0.7781732678413391,1613,371
8,4,0.7449485659599304,904,148
8,4,0.7293626070022583,1653,403
8,4,0.6915044784545898,1682,418
8,4,0.6666392087936401,850,231
8,4,0.6642496585845947,1666,410
8,4,0.6414781212806702,1078,407
8,4,0.5763519406318665,1594,1070
8,4,0.5527188777923584,1574,351
8,4,0.5150396823883057,1596,361
8,4,0.4304355978965759,922,118
8,4,0.3979404866695404,967,242
8,4,0.354259192943573,1618,375
8,4,0.3076496422290802,1583,357
9,3,0.8920676112174988,1092,768
9,3,0.8852883577346802,1266,644
9,4,0.8726223111152649,1522,324
9,4,0.8719791769981384,1747,446
9,4,0.850875735282898,679,263
9,4,0.8485078811645508,835,336
9,4,0.846859872341156,955,294
9,4,0.8443267941474915,900,418
9,3,0.842521071434021,915,466
9,4,0.8409197330474854,1697,428
9,4,0.8387040495872498,863,424
9,4,0.838077187538147,1091,517
9,4,0.8100987076759338,904,147
9,4,0.8069040179252625,1589,236
9,4,0.7913013696670532,984,403
9,4,0.7887043356895447,1638,311
9,4,0.7882140874862671,1620,322
9,4,0.7833899855613708,1839,500
9,4,0.7805734872817993,1614,372
9,4,0.7589924335479736,829,286
9,4,0.7299193143844604,1652,403
9,4,0.6976724863052368,1682,418
9,4,0.6976137757301331,1583,1062
9,4,0.670838475227356,1666,410
9,4,0.6200003027915955,850,233
9,4,0.5797408819198608,922,118
9,4,0.5745075941085815,966,241
9,4,0.5739391446113586,1574,351
9,4,0.5093272924423218,1596,361
9,4,0.3020079433917999,1584,358
9,4,0.2534177005290985,857,114
10,3,0.8888277411460876,1099,779
10,4,0.873090922832489,1747,447
10,4,0.8726438879966736,1522,324
10,3,0.8717881441116333,1262,638
10,4,0.8504227995872498,902,422
10,3,0.8492668867111206,917,471
10,4,0.8491970300674438,680,264
10,4,0.8464395403862,836,339
10,4,0.8455259203910828,954,291
10,4,0.8410000801086426,1697,428
10,4,0.8394526839256287,1088,513
10,4,0.836131751537323,864,427
10,4,0.8228918313980103,904,146
10,4,0.8096731901168823,1589,236
10,4,0.8059784173965454,829,288
10,4,0.7879431247711182,1614,372
10,4,0.7864162921905518,1638,312
10,4,0.7855625152587891,1620,322
10,4,0.7829455733299255,982,399
10,4,0.7822707891464233,1839,500
10,4,0.7321207523345947,1652,403
10,4,0.704312264919281,1682,418
10,4,0.6745041608810425,1666,410
10,4,0.6684587597846985,922,117
10,3,0.5973275899887085,1566,1053
10,4,0.5825228095054626,1574,351
10,4,0.5008382797241211,1596,361
10,4,0.4508216381072998,1074,401
10,4,0.2564326524734497,1583,357
11,3,0.8912915587425232,1106,790
11,4,0.8732165694236755,1747,447
11,4,0.8712035417556763,1522,324
11,3,0.8697858452796936,1257,632
11,3,0.8571552634239197,918,476
11,4,0.8471587300300598,681,265
11,4,0.8419510722160339,903,427
11,4,0.8403359055519104,1697,428
11,4,0.8372817039489746,905,145
11,4,0.8326359987258911,980,396
11,4,0.8320284485816956,953,290
11,4,0.8274101614952087,837,341
11,4,0.825515866279602,865,431
11,4,0.8208868503570557,1085,509
11,4,0.8025333285331726,1589,236
11,4,0.8016539812088013,829,290
11,4,0.7911931276321411,1620,322
11,4,0.7889463901519775,1638,312
11,4,0.7877529859542847,1614,372
11,4,0.787129819393158,1839,500
11,3,0.7567057013511658,1548,1045
11,4,0.7407023906707764,922,117
11,4,0.7276403307914734,1652,403
11,4,0.6891037821769714,1682,418
11,4,0.6514490842819214,1666,410
11,4,0.5871314406394958,1574,351
11,4,0.5419084429740906,874,107
11,4,0.4744844436645508,1596,361
11,4,0.4089268743991852,965,239
11,4,0.2966462969779968,1581,356
12,3,0.8835391402244568,1114,802
12,4,0.8720561265945435,1747,447
12,3,0.8713422417640686,920,480
12,4,0.869854748249054,1523,324
12,3,0.8672106862068176,1251,626
12,3,0.8640713095664978,1534,1037
12,4,0.8605630993843079,905,431
12,4,0.8400683999061584,867,434
12,4,0.8390700817108154,1697,428
12,4,0.8305938243865967,684,266
12,4,0.8303400874137878,905,144
12,4,0.8221994042396545,837,344
12,4,0.8173220157623291,952,288
12,4,0.8066242337226868,1589,236
12,4,0.8035576343536377,978,392
12,4,0.8014910221099854,1069,396
12,4,0.7969645261764526,1620,322
12,4,0.7922573089599609,1638,312
12,4,0.7908293008804321,1081,505
12,4,0.7902742028236389,1614,372
12,4,0.7836633324623108,1839,500
12,4,0.7776387929916382,829,292
12,4,0.7253240346908569,1653,403
12,4,0.6871851086616516,1682,418
12,4,0.6426090598106384,1666,410
12,4,0.5966759920120239,1574,351
12,4,0.5087934136390686,874,107
12,4,0.4757939577102661,1596,361
12,4,0.40767186880111694,922,116
12,4,0.319184809923172,1581,355
13,3,0.8931027054786682,1121,815
13,3,0.8839430212974548,1521,1023
13,4,0.8732156157493591,1747,446
13,4,0.8688317537307739,1523,324
13,4,0.8662304878234863,907,435
13,3,0.8618503212928772,1247,620
13,3,0.8545976281166077,922,485
13,4,0.8445698618888855,686,267
13,4,0.8427262306213379,868,437
13,4,0.8386224508285522,1697,428
13,4,0.8338920474052429,905,143
13,4,0.8196702003479004,838,346
13,4,0.8123825192451477,829,294
13,4,0.8065349459648132,1588,236
13,4,0.8026995062828064,1079,501
13,4,0.7994793057441711,1620,322
13,4,0.7966721653938293,1067,393
13,4,0.7959924936294556,951,286
13,4,0.7897506952285767,1638,312
13,4,0.7878614068031311,1615,372
13,4,0.7875494360923767,1839,500
13,4,0.7681127786636353,976,388
13,4,0.7276761531829834,922,116
13,4,0.7230712175369263,1652,403
13,4,0.6870294809341431,1682,418
13,4,0.6455780863761902,1666,410
13,4,0.5940955877304077,1575,351
13,4,0.5171658396720886,874,107
13,4,0.47638553380966187,1596,361
13,4,0.35251331329345703,948,176
13,4,0.3154785931110382,1581,355
14,3,0.8952036499977112,1509,1009
14,3,0.8857098817825317,1130,828
14,3,0.874702513217926,1242,614
14,4,0.8726879954338074,1747,446
14,4,0.8706926107406616,909,438
14,4,0.8701462149620056,1523,324
14,3,0.8506239652633667,924,489
14,4,0.8483359217643738,869,440
14,4,0.8407683372497559,1697,428
14,4,0.8399152159690857,905,142
14,4,0.8338019847869873,687,267
14,4,0.8245565295219421,839,349
14,4,0.8149569630622864,1839,500
14,4,0.8107399344444275,830,296
14,4,0.8030910491943359,1065,390
14,4,0.8027600646018982,950,283
14,4,0.8011122941970825,1075,496
14,4,0.7998836040496826,1621,322
14,4,0.797241747379303,1589,236
14,4,0.7843238711357117,1637,312
14,4,0.7841809391975403,1615,372
14,4,0.7758018970489502,974,384
14,4,0.7238836288452148,1652,403
14,4,0.6912364959716797,1682,418
14,4,0.6509055495262146,922,115
14,4,0.6490967273712158,1667,410
14,4,0.5928530693054199,1574,351
14,4,0.5205722451210022,873,108
14,4,0.5073027014732361,852,243
14,4,0.47750797867774963,1596,361
14,4,0.31994855403900146,1581,355
15,3,0.8942027688026428,1138,842
15,3,0.8871285915374756,1495,994
15,4,0.8719304800033569,1747,446
15,4,0.8712822794914246,1523,324
15,3,0.8613148331642151,925,494
15,4,0.8606040477752686,1237,609
15,4,0.859656572341919,911,443
15,4,0.842153012752533,870,443
15,4,0.8398517370223999,839,352
15,4,0.8394815325737,1697,428
15,4,0.8333749175071716,972,381
15,4,0.8261911869049072,689,268
15,4,0.8141162991523743,949,281
15,4,0.8131964206695557,1839,500
15,4,0.8013708591461182,905,141
15,4,0.7944456934928894,1589,235
15,4,0.7942284941673279,1621,322
15,4,0.7934085726737976,1615,372
15,4,0.7912747263908386,830,298
15,4,0.7860777378082275,1637,312
15,4,0.732657253742218,1072,493
15,4,0.7228461503982544,1653,403
15,4,0.6929228901863098,1682,418
15,4,0.6616983413696289,852,244
15,4,0.6480827331542969,1667,410
15,4,0.6363246440887451,1063,387
15,4,0.5843240022659302,1574,351
15,4,0.546113908290863,922,115
15,4,0.4805384576320648,1595,361
15,4,0.4575890302658081,873,108
15,4,0.2887563109397888,947,174
16,3,0.8780857920646667,1145,854
16,4,0.873013973236084,1231,604
16,4,0.8720656633377075,1747,446
16,3,0.8718637824058533,1484,980
16,4,0.8714601993560791,1522,324
16,4,0.8669401407241821,913,447
16,3,0.8518667817115784,927,499
16,4,0.842375636100769,691,269
16,4,0.8413073420524597,871,447
16,4,0.8395556211471558,1697,428
16,4,0.8380703330039978,839,353
16,4,0.8227002620697021,906,140
16,4,0.8208336234092712,948,279
