frame,class,confidence,x_center,y_center
52,4,0.6044316291809082,273,819
52,4,0.5609909892082214,282,829
52,1,0.3447203040122986,975,471
52,4,0.2768858075141907,550,646
52,0,0.27052971720695496,687,713
52,1,0.26797807216644287,969,444
53,4,0.8138526678085327,591,641
53,4,0.7911002039909363,202,931
53,4,0.7758374214172363,50,1061
53,4,0.7524686455726624,263,822
53,4,0.7463430762290955,546,647
53,4,0.5434977412223816,462,733
53,4,0.4864628314971924,691,579
53,5,0.33194273710250854,1037,365
53,1,0.2975617051124573,975,471
53,0,0.26230624318122864,687,713
54,4,0.8478957414627075,454,737
54,4,0.7554613351821899,586,643
54,4,0.7463473677635193,263,839
54,4,0.660319983959198,215,924
54,4,0.6025031805038452,58,1058
54,4,0.3859763741493225,542,650
54,4,0.38090983033180237,257,827
54,4,0.3351149559020996,687,581
55,4,0.8464673161506653,446,741
55,4,0.8417158722877502,581,646
55,3,0.7911109924316406,67,1052
55,4,0.7810489535331726,254,844
55,4,0.6210782527923584,226,918
55,4,0.5527438521385193,247,829
55,1,0.41041240096092224,944,476
55,5,0.3746308982372284,1035,368
55,4,0.37454894185066223,536,653
55,4,0.3543204665184021,683,583
56,4,0.8490296006202698,575,649
56,4,0.8432615995407104,439,746
56,4,0.812141478061676,76,1047
56,4,0.7812711000442505,244,850
56,4,0.7227816581726074,531,656
56,1,0.5154579281806946,947,474
57,4,0.8688344359397888,571,652
57,4,0.8341332077980042,431,750
57,3,0.8263127207756042,84,1042
57,4,0.7623832821846008,526,658
57,3,0.6095259785652161,232,853
57,5,0.5110680460929871,1031,370
57,5,0.44051462411880493,674,589
57,4,0.3774386942386627,249,905
57,4,0.28556784987449646,230,842
57,1,0.27450937032699585,949,473
57,0,0.25128328800201416,687,713
58,4,0.8469035625457764,565,655
58,4,0.841014564037323,423,755
58,4,0.7912293672561646,224,862
58,4,0.7518933415412903,94,1036
58,4,0.7462918162345886,521,661
58,4,0.7092351317405701,224,843
58,4,0.6271300315856934,261,897
58,5,0.3277045488357544,1029,371
59,4,0.8650143146514893,213,868
