frame,class,confidence,x_center,y_center
14,4,0.6026086807250977,513,656
14,4,0.3405509293079376,1396,460
15,4,0.8348568081855774,1521,525
15,4,0.8280453085899353,1641,493
15,4,0.7941786646842957,1894,500
15,4,0.7930364608764648,414,532
15,4,0.7507455945014954,273,462
15,4,0.6487476229667664,932,686
15,4,0.6192875504493713,939,487
15,4,0.49022015929222107,1186,643
15,4,0.4811895489692688,524,656
15,4,0.45285916328430176,588,495
15,4,0.3537676930427551,1432,647
16,4,0.8358843922615051,1631,492
16,4,0.8309611678123474,1510,525
16,4,0.8273957371711731,398,532
16,4,0.7608973979949951,1887,499
16,4,0.7304232120513916,264,462
16,4,0.6897851824760437,1197,642
16,4,0.5924487709999084,930,487
16,4,0.37414419651031494,577,495
16,4,0.30691152811050415,1750,642
17,4,0.8411855101585388,384,532
17,4,0.8096052408218384,1499,525
17,4,0.7468857765197754,921,487
17,4,0.6917605400085449,1622,493
17,4,0.6687960028648376,1207,642
17,4,0.6190665364265442,256,463
17,4,0.5884330868721008,568,494
17,4,0.5343392491340637,1369,457
17,4,0.3999384343624115,1877,499
17,4,0.38317304849624634,1761,641
17,4,0.259425550699234,1452,647
18,4,0.8349699974060059,367,532
18,4,0.8274153470993042,1612,492
18,4,0.7302902340888977,557,495
18,4,0.6903830170631409,1770,642
18,4,0.6885428428649902,1488,524
18,4,0.6116812825202942,911,487
18,4,0.3827439546585083,246,462
18,4,0.33705243468284607,1360,458
19,4,0.839414119720459,1477,524
19,4,0.8313045501708984,1602,492
19,4,0.741249680519104,1781,642
19,4,0.7375379204750061,1858,498
19,4,0.7371441125869751,352,532
19,4,0.7213743925094604,238,462
19,4,0.6122430562973022,902,487
19,4,0.5737117528915405,546,494
19,4,0.5268154144287109,1351,459
20,4,0.836309552192688,230,462
20,4,0.8291288018226624,1592,492
20,4,0.8279517292976379,1465,524
20,4,0.795295000076294,336,531
20,4,0.7616434097290039,1848,497
20,4,0.7393245100975037,1792,641
20,4,0.6848204135894775,536,494
20,4,0.5700634717941284,1341,459
20,4,0.43866869807243347,893,487
20,4,0.348452091217041,580,656
20,4,0.33600300550460815,1237,642
20,4,0.33234700560569763,1483,646
21,4,0.8382367491722107,1583,492
21,4,0.8247617483139038,1453,524
21,4,0.8210777044296265,221,462
21,4,0.7817764282226562,1802,642
21,4,0.7798659205436707,1839,497
21,4,0.7791411876678467,1493,645
21,4,0.7261865735054016,321,531
21,4,0.6155564785003662,525,494
21,4,0.6106555461883545,1332,458
21,4,0.5490456223487854,882,488
21,4,0.47796162962913513,590,656
22,4,0.8310818672180176,1573,493
22,4,0.828610897064209,1442,524
22,4,0.8106371760368347,212,461
22,4,0.7945138812065125,1503,645
22,4,0.7615499496459961,1256,642
22,4,0.7424465417861938,1813,642
22,4,0.7292674779891968,306,530
22,4,0.7262377142906189,1829,497
22,4,0.612834095954895,1324,460
22,4,0.5228398442268372,875,487
22,4,0.4647831916809082,515,494
22,4,0.34983745217323303,601,656
23,4,0.8396034240722656,1430,524
23,4,0.8374109864234924,1563,492
23,4,0.8134855031967163,203,461
23,4,0.78596031665802,1267,643
23,4,0.7527152895927429,291,530
23,4,0.7491169571876526,1820,497
23,4,0.727384090423584,1515,645
23,4,0.7116270065307617,1823,641
23,4,0.5525129437446594,1313,459
23,4,0.539341390132904,612,656
24,4,0.8462690114974976,1419,524
24,4,0.8379108309745789,1553,493
24,4,0.8172981142997742,194,461
24,4,0.8112984895706177,1810,497
24,4,0.7752597332000732,1524,644
24,4,0.7685805559158325,275,530
24,4,0.7117553949356079,1277,642
24,4,0.6145869493484497,1834,642
24,4,0.551463782787323,624,655
24,4,0.44562050700187683,854,488
24,4,0.30010879039764404,1304,459
24,4,0.26607847213745117,1019,687
