frame,class,confidence,x_center,y_center
0,4,0.8561786413192749,576,492
0,4,0.8417577743530273,665,502
0,4,0.810041069984436,175,491
0,4,0.8066648840904236,1072,493
0,4,0.7569038271903992,1725,494
0,4,0.7477251291275024,1040,527
0,4,0.7351548671722412,936,541
0,4,0.7228515148162842,1560,541
0,4,0.6323187351226807,1910,537
0,4,0.6237450838088989,105,352
0,4,0.595447301864624,1709,504
0,4,0.43525347113609314,1883,503
0,4,0.43298590183258057,1851,493
0,4,0.40866872668266296,1484,529
0,4,0.3800571858882904,1705,545
0,4,0.27043449878692627,282,545
1,4,0.8500471711158752,570,492
1,4,0.8434196710586548,657,502
1,4,0.8252038955688477,1047,527
1,4,0.7858185172080994,1566,540
1,4,0.7750494480133057,170,490
1,4,0.7700313925743103,1066,492
1,4,0.7617905735969543,1720,494
1,4,0.7559872269630432,942,541
1,4,0.6445131301879883,1876,503
1,4,0.614280104637146,105,352
1,4,0.4782258868217468,1702,504
1,4,0.4703502953052521,288,545
1,4,0.3977755010128021,228,473
1,4,0.39685454964637756,919,527
1,4,0.36403095722198486,1492,529
1,4,0.28741219639778137,1913,537
1,4,0.25979188084602356,59,362
2,4,0.8600683808326721,649,502
2,4,0.8590919971466064,564,492
2,4,0.8496174812316895,162,490
2,4,0.804851770401001,1574,541
2,4,0.7567910552024841,1716,493
2,4,0.7499770522117615,1059,492
2,4,0.736393928527832,1053,527
2,4,0.7247645258903503,1870,503
2,4,0.7188608646392822,948,540
2,4,0.6442356109619141,1716,544
2,4,0.6289786696434021,105,352
2,4,0.5409548878669739,1697,504
2,4,0.4507536292076111,221,473
2,4,0.43821316957473755,1839,493
2,4,0.4205554723739624,1499,528
2,4,0.37559598684310913,293,545
2,4,0.3658473491668701,926,528
2,4,0.25782445073127747,1349,544
2,4,0.252030611038208,59,362
3,4,0.8641864657402039,558,493
3,4,0.8185228109359741,641,502
3,4,0.808063805103302,1061,526
3,4,0.8034233450889587,155,490
3,4,0.7704233527183533,1711,493
3,4,0.7609838247299194,1052,492
3,4,0.7593219876289368,956,540
3,4,0.6401517987251282,1581,541
3,4,0.6322817206382751,105,352
3,4,0.5803938508033752,298,545
3,4,0.5696024894714355,1691,504
3,4,0.40055015683174133,216,473
3,4,0.3923795819282532,1865,503
3,4,0.2723090648651123,124,327
4,4,0.8497187495231628,553,492
4,4,0.8287795782089233,1044,492
4,4,0.826092541217804,632,502
4,4,0.8167416453361511,147,489
4,4,0.7646991014480591,1068,527
4,4,0.7391282916069031,962,540
4,4,0.7166756391525269,1589,541
4,4,0.655744731426239,105,352
4,4,0.6381942629814148,1705,494
4,4,0.5454819798469543,1726,545
4,4,0.5039731860160828,940,528
4,4,0.4525465965270996,210,472
4,4,0.29218152165412903,1352,554
4,4,0.2792649567127228,59,362
4,4,0.2677040994167328,303,545
5,4,0.852562427520752,547,491
5,4,0.8382922410964966,1076,527
5,4,0.8351334929466248,626,502
5,4,0.8296600580215454,1038,493
5,4,0.7529564499855042,969,540
5,4,0.7339177131652832,140,489
5,4,0.7213371396064758,1731,545
5,4,0.6953356266021729,1595,540
5,4,0.6547886729240417,105,352
5,4,0.6275491714477539,205,472
5,4,0.610761821269989,1700,493
5,4,0.5419562458992004,309,545
5,4,0.4991602599620819,1357,554
5,4,0.3461030423641205,948,527
5,4,0.3022480607032776,59,361
5,4,0.27041661739349365,123,328
