frame,class,confidence,x_center,y_center,width,height
0,van,0.9172765612602234,1557.5,808.0,109,84
0,van,0.9111875891685486,1200.5,719.5,77,85
0,van,0.9027873277664185,1251.5,599.0,73,58
0,van,0.8937839269638062,1078.5,664.5,79,79
0,van,0.8830722570419312,1350.5,552.5,59,45
0,van,0.8739281892776489,890.5,229.5,25,25
0,van,0.8673670887947083,1145.0,410.0,46,36
0,van,0.8646258115768433,1565.5,242.0,69,32
0,van,0.8559266924858093,999.5,301.5,31,27
0,van,0.8550899028778076,1803.5,344.5,65,29
0,van,0.8518202304840088,966.5,689.0,61,68
0,van,0.8509883880615234,781.5,280.5,25,27
0,van,0.8436866998672485,952.0,215.0,22,22
0,van,0.8427208662033081,1088.0,416.0,46,38
0,van,0.8365519046783447,1040.5,249.5,27,25
0,van,0.8251686096191406,1749.5,328.5,47,23
0,van,0.8196126222610474,1661.0,280.5,56,27
0,van,0.8166695237159729,1021.0,268.0,26,24
0,van,0.8124051690101624,850.5,223.0,21,20
0,van,0.8079103827476501,841.5,111.0,15,14
0,van,0.7925413250923157,953.0,114.5,14,15
0,van,0.7835257053375244,1024.5,223.5,23,19
0,van,0.7806716561317444,1729.0,319.0,54,28
0,van,0.7736575603485107,932.0,145.5,14,17
0,van,0.7685774564743042,1703.0,308.0,62,26
0,van,0.7580485939979553,967.0,180.5,18,17
0,van,0.7396783232688904,979.0,138.5,12,15
0,van,0.70078045129776,864.5,109.0,15,12
0,van,0.698644757270813,1617.0,264.0,54,24
0,van,0.6753448843955994,1635.0,272.5,54,23
0,van,0.6712265014648438,937.0,87.5,14,15
0,van,0.6577447652816772,1665.0,284.0,54,26
0,van,0.6067199110984802,1681.0,229.5,50,29
0,person,0.5806304812431335,685.0,184.0,8,14
0,van,0.5648723840713501,1633.5,168.5,29,23
0,van,0.5559777021408081,971.5,98.5,13,13
0,van,0.5368701815605164,890.5,88.5,17,15
0,van,0.4304378032684326,1780.5,276.0,27,22
0,van,0.378294438123703,883.0,62.5,16,15
0,van,0.3027285635471344,1624.5,268.5,57,23
1,van,0.9226765632629395,1542.0,793.5,106,81
1,van,0.9122394323348999,1210.5,732.0,79,86
1,van,0.9108220338821411,1243.0,589.5,72,57
1,van,0.9043478965759277,1085.5,675.5,79,81
1,van,0.8764387369155884,891.0,231.5,26,25
1,van,0.8731223940849304,1343.0,547.5,58,43
1,van,0.8691524863243103,997.0,298.5,30,27
1,van,0.8637852072715759,1565.5,242.0,69,32
1,van,0.8588303327560425,782.5,282.5,27,27
1,van,0.8550069332122803,1140.5,405.5,45,35
1,van,0.8537447452545166,1040.0,248.5,28,25
1,van,0.8535831570625305,1803.0,344.5,66,29
1,van,0.8447333574295044,970.5,696.5,61,69
1,van,0.8442432880401611,951.0,213.0,22,22
1,van,0.8329448699951172,1019.0,266.5,26,23
1,van,0.830582857131958,1084.0,410.5,46,37
1,van,0.8239282369613647,1749.5,328.5,47,23
1,van,0.8213533163070679,1661.0,280.5,56,27
1,van,0.8201767802238464,850.5,225.0,21,20
1,van,0.8181620240211487,1023.0,221.5,24,19
1,van,0.8029146194458008,967.0,178.5,18,17
1,van,0.7971687912940979,953.0,113.5,14,15
1,van,0.7836119532585144,931.5,144.0,15,16
1,van,0.7786641716957092,1728.5,319.0,53,28
1,van,0.7642877101898193,1703.0,307.5,62,25
1,van,0.7537415027618408,864.5,110.5,15,13
1,van,0.7437598705291748,841.0,111.5,14,15
1,van,0.7328038811683655,937.5,86.5,13,13
1,van,0.6942982077598572,1616.5,264.0,53,24
1,van,0.6884336471557617,979.0,137.5,12,15
1,van,0.6812160611152649,1635.5,271.5,53,23
1,van,0.6473398804664612,1665.0,284.0,54,26
1,van,0.5854312181472778,1681.5,229.5,49,29
1,person,0.564357340335846,685.0,184.0,8,14
1,van,0.5553765892982483,1633.5,168.5,29,23
1,van,0.5391344428062439,971.5,98.5,13,13
1,van,0.44952380657196045,883.0,63.0,16,14
1,van,0.4342178702354431,1780.5,275.5,27,21
1,van,0.40775710344314575,890.5,90.5,17,15
2,van,0.9290931224822998,1527.5,779.5,103,79
2,van,0.920927107334137,1220.0,746.0,82,88
2,van,0.9074126482009888,1091.0,685.5,80,83
2,van,0.9004826545715332,1235.0,581.0,70,56
2,van,0.8853661417961121,1336.0,541.0,58,42
2,van,0.8793169260025024,892.0,234.0,26,26
2,van,0.8715491890907288,1137.0,401.5,46,35
2,van,0.8669872283935547,783.0,284.5,26,27
2,van,0.8649479746818542,1565.5,242.0,69,32
2,van,0.8590474724769592,995.0,295.0,30,26
2,van,0.8531050086021423,1080.5,406.0,47,38
2,van,0.8528077602386475,1803.0,344.5,66,29
2,van,0.8525057435035706,975.5,703.0,61,70
2,van,0.8435472249984741,1038.5,246.0,27,24
2,van,0.8435179591178894,851.0,227.0,22,22
2,van,0.8403367400169373,1018.5,264.5,25,23
2,van,0.8330523371696472,950.5,211.5,23,21
2,van,0.8244918584823608,1661.5,280.5,57,27
2,van,0.8211194276809692,1749.0,328.5,46,23
2,van,0.8193212747573853,966.5,178.0,17,18
2,van,0.815181314945221,1022.0,220.0,24,20
2,van,0.7968549728393555,952.5,113.0,13,14
2,van,0.7813705205917358,1728.5,319.0,55,28
2,van,0.7730315327644348,1703.0,307.0,62,26
2,van,0.767832338809967,937.5,86.0,13,14
2,van,0.7499861717224121,864.5,110.5,15,13
2,van,0.7375554442405701,931.0,142.0,14,16
2,van,0.710922360420227,979.0,137.5,12,15
2,van,0.6986885666847229,1616.5,264.0,53,24
2,van,0.6706992387771606,1636.0,271.5,54,23
2,van,0.6635617017745972,840.5,111.5,15,15
2,van,0.6299722790718079,890.0,90.5,18,15
2,van,0.6069231033325195,1681.5,229.5,49,29
2,van,0.5990018844604492,971.5,97.5,13,13
2,person,0.5836158990859985,685.0,184.0,8,14
2,van,0.5292510390281677,1633.5,168.5,29,23
2,van,0.5286101698875427,1780.5,275.5,27,21
2,van,0.43993720412254333,883.0,63.5,16,15
2,van,0.32413867115974426,1719.0,314.0,54,26
3,van,0.9298721551895142,1514.0,766.5,102,79
3,van,0.9173295497894287,1230.5,760.0,83,90
3,van,0.9138791561126709,1097.0,696.5,82,85
3,van,0.9014706611633301,1226.5,572.5,69,55
3,van,0.8829996585845947,1329.5,535.0,57,44
3,van,0.8732340931892395,893.5,236.0,27,26
3,van,0.8655885457992554,783.5,285.5,25,27
3,van,0.8651878833770752,993.5,291.5,31,27
3,van,0.864861011505127,1565.5,242.0,69,32
3,van,0.8636087775230408,1133.0,397.5,46,35
3,van,0.8623870015144348,1076.0,401.0,46,38
3,van,0.8544641733169556,1803.0,344.5,66,29
3,van,0.851719319820404,851.5,228.5,23,23
3,van,0.8478029370307922,978.0,711.5,60,71
3,van,0.8439489006996155,1017.0,262.0,26,24
3,van,0.8408224582672119,1038.0,243.5,28,25
3,van,0.8288005590438843,1661.5,281.0,57,28
3,van,0.8287150263786316,966.0,176.5,18,17
3,van,0.8211043477058411,1749.0,328.5,46,23
3,van,0.8188579082489014,950.5,209.5,23,21
3,van,0.8154899477958679,1021.5,218.5,25,19
3,van,0.8003703355789185,952.5,112.5,13,15
3,van,0.8001676797866821,864.0,111.0,16,14
3,van,0.8001267313957214,937.5,85.0,13,14
3,van,0.7771185636520386,1728.5,319.0,55,28
3,van,0.7738819718360901,1703.0,307.5,62,25
3,van,0.7389469742774963,890.0,91.0,18,16
3,van,0.6979242563247681,1617.0,264.0,54,24
3,van,0.6711946725845337,840.5,112.5,15,15
3,van,0.6535144448280334,971.5,96.5,13,13
3,van,0.6510206460952759,1635.5,271.5,53,23
3,van,0.6140464544296265,1680.5,229.5,49,29
3,van,0.6087149381637573,978.5,136.0,11,16
3,person,0.5763887763023376,685.0,184.0,8,14
3,van,0.5759900808334351,931.0,141.5,14,15
3,van,0.5383942723274231,882.5,64.0,17,16
3,van,0.5326041579246521,1780.5,275.5,27,21
3,van,0.5235968232154846,1633.5,168.5,29,23
3,van,0.3211960792541504,1719.0,314.0,54,26
4,van,0.9252161383628845,1499.5,754.0,99,78
4,van,0.9249090552330017,1241.0,774.5,86,93
4,van,0.9102566838264465,1104.0,706.5,84,87
4,van,0.900342583656311,1218.5,565.0,67,54
4,van,0.8757787942886353,1322.5,530.0,55,44
4,van,0.8720460534095764,894.0,238.5,28,27
4,van,0.87064129114151,1129.0,393.5,44,35
4,van,0.8647233843803406,1565.5,242.0,69,32
4,van,0.8637162446975708,784.0,287.5,26,27
4,van,0.8563941717147827,982.0,719.0,64,72
4,van,0.8536023497581482,1803.0,344.5,66,29
4,van,0.8514783382415771,949.5,208.0,23,20
4,van,0.8505015969276428,991.5,288.5,31,27
4,van,0.8478593230247498,852.0,230.5,24,23
4,van,0.8465586304664612,1072.5,396.0,45,36
4,van,0.8431901335716248,1015.5,258.5,25,25
4,van,0.8378263115882874,966.0,175.0,18,18
4,van,0.8341357707977295,1037.0,243.0,28,24
4,van,0.8294284343719482,1661.0,281.0,58,28
4,van,0.8245182037353516,1022.0,217.5,26,19
4,van,0.8183696269989014,1749.5,328.5,47,23
4,van,0.8041371703147888,952.5,111.5,13,13
4,van,0.7827348113059998,937.5,84.0,13,14
4,van,0.7764935493469238,889.5,91.5,17,15
4,van,0.7721179723739624,1728.5,319.0,55,28
4,van,0.7680811882019043,1702.5,308.0,63,26
4,van,0.7657360434532166,863.0,112.0,16,14
4,van,0.699404776096344,1616.5,264.0,53,24
4,van,0.6786648035049438,978.5,135.0,13,16
4,van,0.6530750393867493,1635.5,272.0,53,22
4,van,0.6309212446212769,1780.5,275.5,27,21
4,van,0.6260973811149597,1681.5,229.5,49,29
4,van,0.6111868619918823,972.0,96.5,14,13
4,van,0.589690089225769,882.5,64.0,17,16
4,person,0.5779034495353699,684.5,184.0,9,14
4,van,0.5766621232032776,930.5,140.0,15,16
4,van,0.5404322147369385,1634.0,168.5,30,23
4,van,0.522929310798645,840.5,112.5,15,15
4,van,0.30343320965766907,1719.0,314.0,54,26
5,van,0.9240736961364746,1487.0,741.5,96,77
5,van,0.9185866713523865,1253.0,789.5,88,95
5,van,0.9117931127548218,1110.5,718.0,85,88
5,van,0.9021522998809814,1211.5,557.0,67,52
5,van,0.8851156234741211,1124.5,389.0,45,36
5,van,0.878819465637207,785.0,289.5,26,29
5,van,0.8692601919174194,895.0,239.5,28,27
5,van,0.8643444180488586,1565.5,242.0,69,32
5,van,0.8628937602043152,949.0,206.0,22,20
5,van,0.8623677492141724,985.5,726.5,65,73
5,van,0.8592498302459717,1068.5,391.0,45,36
5,van,0.8586763143539429,1803.0,344.5,66,29
5,van,0.8520743250846863,989.0,284.5,32,27
5,van,0.8417143821716309,1014.0,257.0,26,24
5,van,0.8382146954536438,852.0,232.0,24,24
5,van,0.8369446992874146,965.5,173.5,17,17
5,van,0.8312784433364868,1661.0,281.0,58,28
5,van,0.8307533264160156,1036.0,241.5,28,23
5,van,0.8215261697769165,1020.0,215.5,26,19
5,van,0.8204178810119629,1749.5,328.5,47,23
5,van,0.8125775456428528,863.0,112.5,16,15
5,van,0.8040733933448792,889.0,93.0,18,16
5,van,0.799929678440094,952.5,111.0,13,14
5,van,0.7814401388168335,938.5,83.0,13,14
5,van,0.7705922722816467,1728.5,319.0,55,28
5,van,0.7607031464576721,1702.5,308.0,63,26
5,van,0.7584347724914551,1316.5,524.5,55,43
5,van,0.7031232118606567,1616.5,264.0,53,24
5,van,0.6757000684738159,978.5,134.5,13,15
5,van,0.6502733826637268,1635.5,272.0,55,22
