frame,track_id,class,x_center,y_center,width,height
0,16771,1,-98,523,50,50
0,16772,1,1394,654,50,50
0,16778,1,1163,699,50,50
0,16779,1,780,693,50,50
0,16780,1,985,507,50,50
0,16785,1,2035,612,50,50
0,16787,0,562,792,50,50
0,16788,1,1829,503,50,50
0,16789,1,173,648,50,50
1,16771,1,-110,523,50,50
1,16772,1,1404,654,50,50
1,16778,1,1173,699,50,50
1,16779,1,789,693,50,50
1,16780,1,974,507,50,50
1,16785,1,2045,612,50,50
1,16787,0,562,792,50,50
1,16788,1,1822,503,50,50
1,16789,1,182,649,50,50
2,16771,1,-122,522,50,50
2,16772,1,1413,654,50,50
2,16778,1,1183,699,50,50
2,16779,1,798,693,50,50
2,16780,1,962,507,50,50
2,16785,1,2055,611,50,50
2,16787,0,562,792,50,50
2,16788,1,1814,503,50,50
2,16789,1,191,649,50,50
2,16790,1,542,464,50,50
2,16792,1,515,605,50,50
2,16793,1,1858,518,50,50
2,16794,1,1847,602,50,50
2,16795,1,875,499,50,50
2,16796,1,1722,486,50,50
2,16797,1,1050,477,50,50
2,16798,1,1317,484,50,50
2,16799,1,126,593,50,50
3,16771,1,-133,522,50,50
3,16772,1,1422,654,50,50
3,16778,1,1193,699,50,50
3,16779,1,807,693,50,50
3,16780,1,951,507,50,50
3,16785,1,2066,611,50,50
3,16787,0,562,792,50,50
3,16788,1,1806,503,50,50
3,16789,1,200,649,50,50
3,16790,1,534,464,50,50
3,16792,1,524,605,50,50
3,16793,1,1846,518,50,50
3,16794,1,1856,603,50,50
3,16795,1,863,499,50,50
3,16796,1,1714,486,50,50
3,16797,1,1042,476,50,50
3,16798,1,1307,484,50,50
3,16799,1,133,593,50,50
3,16800,1,1868,634,50,50
4,16771,1,-145,521,50,50
4,16772,1,1431,654,50,50
4,16778,1,1202,699,50,50
4,16779,1,816,693,50,50
4,16780,1,940,507,50,50
4,16785,1,2076,611,50,50
4,16787,0,562,792,50,50
4,16788,1,1798,504,50,50
4,16789,1,209,649,50,50
4,16790,1,525,464,50,50
4,16792,1,532,606,50,50
4,16793,1,1835,518,50,50
4,16794,1,1865,602,50,50
4,16795,1,852,499,50,50
4,16796,1,1704,486,50,50
4,16797,1,1033,476,50,50
4,16798,1,1297,484,50,50
4,16799,1,142,593,50,50
4,16800,1,1877,633,50,50
5,16771,1,-156,521,50,50
5,16772,1,1440,654,50,50
5,16778,1,1212,698,50,50
5,16779,1,825,694,50,50
5,16780,1,928,507,50,50
5,16785,1,2087,611,50,50
5,16787,0,562,792,50,50
5,16788,1,1790,504,50,50
5,16789,1,218,650,50,50
5,16790,1,517,464,50,50
5,16792,1,540,606,50,50
5,16793,1,1824,518,50,50
5,16794,1,1872,602,50,50
5,16795,1,841,498,50,50
5,16796,1,1694,486,50,50
5,16797,1,1025,475,50,50
5,16798,1,1286,485,50,50
5,16799,1,150,594,50,50
5,16800,1,1883,632,50,50
6,16771,1,-168,520,50,50
6,16772,1,1449,654,50,50
6,16778,1,1222,698,50,50
6,16779,1,834,694,50,50
6,16780,1,917,507,50,50
6,16785,1,2097,611,50,50
6,16787,0,562,792,50,50
6,16788,1,1782,504,50,50
6,16789,1,227,650,50,50
6,16790,1,508,463,50,50
6,16792,1,548,606,50,50
6,16793,1,1813,518,50,50
6,16794,1,1879,602,50,50
6,16795,1,829,498,50,50
6,16796,1,1685,487,50,50
6,16797,1,1018,475,50,50
6,16798,1,1275,485,50,50
6,16799,1,158,594,50,50
6,16800,1,1889,632,50,50
7,16771,1,-179,520,50,50
7,16772,1,1459,654,50,50
7,16778,1,1231,698,50,50
7,16779,1,843,694,50,50
7,16780,1,906,507,50,50
7,16785,1,2107,610,50,50
7,16787,0,562,792,50,50
7,16788,1,1775,504,50,50
7,16789,1,236,650,50,50
7,16790,1,499,463,50,50
7,16792,1,557,607,50,50
7,16793,1,1801,518,50,50
7,16794,1,1886,602,50,50
7,16795,1,818,498,50,50
7,16796,1,1676,487,50,50
7,16797,1,1009,475,50,50
7,16798,1,1265,486,50,50
7,16799,1,167,595,50,50
7,16800,1,1894,632,50,50
8,16771,1,-191,519,50,50
8,16772,1,1468,654,50,50
8,16778,1,1241,698,50,50
8,16779,1,852,694,50,50
8,16780,1,894,507,50,50
8,16785,1,2118,610,50,50
8,16787,0,562,792,50,50
8,16788,1,1767,504,50,50
8,16789,1,245,650,50,50
8,16790,1,491,462,50,50
8,16792,1,565,607,50,50
8,16793,1,1790,518,50,50
8,16794,1,1898,604,50,50
8,16795,1,808,498,50,50
8,16796,1,1668,487,50,50
8,16797,1,1000,475,50,50
8,16798,1,1256,486,50,50
8,16799,1,175,595,50,50
8,16800,1,1900,632,50,50
8,16801,1,1903,487,50,50
9,16771,1,-203,519,50,50
9,16772,1,1477,654,50,50
9,16778,1,1251,698,50,50
9,16779,1,861,694,50,50
9,16780,1,883,507,50,50
9,16785,1,2128,610,50,50
9,16787,0,562,792,50,50
9,16788,1,1759,505,50,50
9,16789,1,255,651,50,50
9,16790,1,484,462,50,50
9,16792,1,574,607,50,50
9,16793,1,1779,519,50,50
9,16794,1,1904,604,50,50
9,16795,1,798,498,50,50
9,16796,1,1658,487,50,50
9,16797,1,991,475,50,50
9,16798,1,1245,486,50,50
9,16799,1,183,595,50,50
9,16800,1,1909,631,50,50
9,16801,1,1901,488,50,50
9,16802,1,1908,458,50,50
10,16771,1,-214,518,50,50
10,16772,1,1486,655,50,50
10,16778,1,1261,698,50,50
10,16779,1,871,694,50,50
10,16780,1,871,507,50,50
10,16785,1,2139,610,50,50
10,16787,0,562,792,50,50
10,16788,1,1751,505,50,50
10,16789,1,264,651,50,50
10,16790,1,476,461,50,50
10,16792,1,582,608,50,50
10,16793,1,1769,519,50,50
10,16794,1,1909,603,50,50
10,16795,1,787,498,50,50
10,16796,1,1649,487,50,50
10,16797,1,983,474,50,50
10,16798,1,1236,486,50,50
10,16799,1,191,595,50,50
10,16800,1,1916,631,50,50
10,16801,1,1895,488,50,50
10,16802,1,1904,459,50,50
11,16771,1,-226,518,50,50
11,16772,1,1495,655,50,50
11,16778,1,1270,698,50,50
11,16779,1,880,694,50,50
11,16780,1,860,507,50,50
11,16785,1,2149,609,50,50
11,16787,0,562,792,50,50
11,16788,1,1743,505,50,50
11,16789,1,273,651,50,50
11,16790,1,467,461,50,50
11,16792,1,590,608,50,50
11,16793,1,1757,519,50,50
11,16794,1,1913,605,50,50
11,16795,1,776,497,50,50
11,16796,1,1640,487,50,50
11,16797,1,974,475,50,50
11,16798,1,1226,485,50,50
11,16799,1,199,595,50,50
