frame,track_id,class,x_center,y_center,width,height
0,9052,1,1642,140,50,50
0,9095,1,159,852,50,50
0,9116,1,1623,144,50,50
0,9144,1,1727,75,50,50
0,9167,1,1620,174,50,50
0,9170,0,962,520,50,50
0,9184,1,1642,128,50,50
0,9194,1,1405,358,50,50
0,9200,1,581,716,50,50
0,9213,1,1468,260,50,50
0,9215,1,1038,435,50,50
0,9217,1,1104,375,50,50
0,9222,1,1659,126,50,50
0,9226,1,1274,283,50,50
0,9230,1,1293,294,50,50
0,9232,1,1377,339,50,50
0,9233,1,1259,467,50,50
0,9236,1,1359,278,50,50
0,9237,1,1154,368,50,50
1,9052,1,1643,139,50,50
1,9095,1,143,860,50,50
1,9116,1,1624,143,50,50
1,9144,1,1728,74,50,50
1,9167,1,1620,174,50,50
1,9170,0,962,520,50,50
1,9184,1,1643,127,50,50
1,9194,1,1407,356,50,50
1,9200,1,566,724,50,50
1,9213,1,1470,259,50,50
1,9215,1,1032,438,50,50
1,9217,1,1100,377,50,50
1,9222,1,1659,126,50,50
1,9226,1,1272,284,50,50
1,9230,1,1291,295,50,50
1,9232,1,1376,343,50,50
1,9233,1,1263,464,50,50
1,9236,1,1357,280,50,50
1,9237,1,1150,370,50,50
2,9052,1,1645,139,50,50
2,9095,1,127,868,50,50
2,9116,1,1625,142,50,50
2,9144,1,1728,74,50,50
2,9167,1,1621,173,50,50
2,9170,0,962,520,50,50
2,9184,1,1644,127,50,50
2,9194,1,1409,355,50,50
2,9200,1,552,732,50,50
2,9213,1,1472,257,50,50
2,9215,1,1027,441,50,50
2,9217,1,1097,379,50,50
2,9222,1,1659,126,50,50
2,9226,1,1270,285,50,50
2,9230,1,1288,296,50,50
2,9232,1,1376,347,50,50
2,9233,1,1267,461,50,50
2,9236,1,1355,282,50,50
2,9237,1,1146,372,50,50
2,9251,1,1497,256,50,50
2,9253,1,578,1064,50,50
2,9255,1,700,843,50,50
2,9256,1,568,816,50,50
2,9257,1,948,655,50,50
2,9258,1,359,894,50,50
2,9259,1,793,599,50,50
2,9260,2,1120,389,50,50
2,9261,1,1005,527,50,50
2,9262,1,503,764,50,50
2,9263,1,75,1053,50,50
2,9264,1,1163,415,50,50
2,9265,1,1139,502,50,50
2,9266,1,1222,353,50,50
2,9267,1,1004,495,50,50
2,9268,0,869,638,50,50
2,9269,1,1326,412,50,50
3,9052,1,1646,138,50,50
3,9095,1,110,876,50,50
3,9116,1,1613,144,50,50
3,9144,1,1729,74,50,50
3,9167,1,1622,173,50,50
3,9170,0,962,520,50,50
3,9194,1,1411,353,50,50
3,9200,1,537,740,50,50
3,9213,1,1474,256,50,50
3,9215,1,1022,443,50,50
3,9217,1,1093,380,50,50
3,9222,1,1659,126,50,50
3,9226,1,1268,286,50,50
3,9230,1,1286,298,50,50
3,9232,1,1375,351,50,50
3,9233,1,1271,458,50,50
3,9236,1,1353,284,50,50
3,9237,1,1142,373,50,50
3,9251,1,1497,256,50,50
3,9253,1,595,1058,50,50
3,9255,1,717,829,50,50
3,9256,1,552,825,50,50
3,9257,1,956,648,50,50
3,9258,1,349,902,50,50
3,9259,1,788,602,50,50
3,9260,2,1117,391,50,50
3,9261,1,999,531,50,50
